,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID
Ticker,AM249660 Corp,AM249829 Corp,AM767513 Corp,AO044440 Corp,AO044441 Corp,AQ286676 Corp,AQ286717 Corp,AQ804746 Corp,AT621876 Corp,AT621983 Corp,AU669900 Corp,AU690552 Corp,AW852557 Corp,AZ187081 Corp,EF003854 Corp,EF005003 Corp,EF413043 Corp,EH973309 Corp,EI202130 Corp,EI277206 Corp,EI280468 Corp,EI333506 Corp,EI400413 Corp,EI447384 Corp,EI506702 Corp,EI551649 Corp,EI685910 Corp,EI827713 Corp,EJ516233 Corp,EJ699138 Corp,EJ734216 Corp,EJ734501 Corp,EJ891119 Corp,EK016196 Corp,EK024568 Corp,EK081094 Corp,EK089367 Corp,EK124413 Corp,EK144722 Corp,EK160676 Corp,EK261914 Corp,EK359206 Corp,EK612958 Corp,EK686365 Corp,EK946829 Corp,EK998300 Corp,JK609904 Corp,QJ858742 Corp,QZ515948 Corp,ZQ099072 Corp,ZR521373 Corp,ZR594518 Corp,ZR594522 Corp,ZS215020 Corp
Refdate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,,,4.225,99.913,118.362,433.052,,376.945,565.816,562.036,437.402,13.618,,,1.105,26.185,27.445,479.269,28.57,4.149,38.61,47.095,296.618,-2.688,,14.888,3.582,-0.47500000000000003,465.734,155.662,-3.019,,1401.563,2.128,510.365,53.14,638.878,422.224,627.607,161.582,519.732,86.428,378.759,415.183,204.521,73.95,208.648,60.474,357.828,,,,,
2019-01-03,,,5.467,99.632,118.843,436.68,,385.014,574.561,570.21,452.085,15.527,,,-0.362,26.376,28.148,484.279,31.848,6.108,40.439,48.26,321.928,-1.347,,14.945,4.843,0.716,482.456,157.92,-2.422,,1477.055,3.427,529.119,52.736,653.857,435.071,651.083,168.278,535.787,88.28,386.577,423.878,212.088,75.341,219.818,60.774,364.715,,,,,
2019-01-04,,,7.086,100.281,119.24,436.973,,382.728,562.558,564.31,452.472,15.735,,,-0.546,27.707,28.286,478.886,32.192,6.713,42.862,48.969,319.444,-0.196,,15.752,5.321,0.875,481.905,164.845,-1.7850000000000001,,1483.63,3.599,527.103,53.376,651.407,430.487,650.335,175.762,525.947,88.961,382.974,420.957,233.814,75.652,230.249,61.458,362.122,,,,,
2019-01-07,,,8.197,102.909,123.308,436.684,,381.062,544.398,539.698,446.823,17.875,,,1.142,28.907,29.445,470.729,32.329,6.028,45.073,50.487,313.936,1.6800000000000002,,16.73,6.366,1.661,474.663,170.327,-1.8519999999999999,,1503.825,5.644,523.949,55.105,648.241,425.492,649.82,181.777,522.859,89.879,382.337,418.442,237.361,77.194,232.286,63.067,361.088,,,,,
2019-01-08,,,8.963,102.19,122.693,425.241,,374.99,550.722,553.118,436.392,19.883,,,0.5670000000000001,29.241,30.036,454.727,31.213,6.455,46.144,50.32,298.743,1.37,,16.654,7.683,3.659,465.759,169.245,-0.795,,1520.571,7.451,513.114,55.69,637.6,412.486,625.376,182.262,518.607,89.633,378.205,410.705,236.039,76.239,236.733,62.833,355.485,,,,,
2019-01-09,,,9.357,100.952,121.392,414.373,409.927,362.308,544.494,542.695,411.784,20.852,,,-1.659,28.156,29.144,445.054,34.27,7.023,44.703,49.277,292.155,1.839,,16.528,8.168,4.085,436.015,167.123,-0.531,,1499.092,8.78,477.431,54.091,625.119,402.723,557.499,181.611,505.168,88.258,367.226,394.161,236.149,74.574,239.354,61.448,345.86,,,,,
2019-01-10,,,9.391,100.127,120.27,425.025,427.377,359.106,554.229,553.439,415.119,21.22,,,-3.259,27.783,29.699,441.939,35.746,7.584,42.669,48.819,289.909,1.994,,17.251,8.153,4.315,436.606,166.308,-0.62,,1506.08,9.164,476.336,53.707,625.933,401.555,546.874,182.112,503.413,88.059,365.533,391.535,235.379,74.633,239.125,61.041,343.81,,,,,
2019-01-11,,,9.589,99.794,119.982,420.768,418.156,345.459,546.432,545.953,406.806,21.492,,,-3.559,28.321,30.075,435.678,36.311,7.507,41.682,48.608,285.327,2.02,,17.766,8.446,4.201,426.505,164.721,-0.762,,1524.003,9.634,454.968,53.799,618.531,394.781,507.697,181.724,490.762,88.075,352.898,376.821,234.841,75.326,235.931,60.608,334.09,,,,,
