,Refdate,Ticker,Z_SPRD_MID,AMT_OUTSTANDING,Base
293,2020-02-14,BG039168 Corp,415.217,1250000000,520271250000.0
294,2020-02-17,BG039168 Corp,416.944,1250000000,522430000000.0
295,2020-02-18,BG039168 Corp,423.999,1250000000,531248750000.0
296,2020-02-19,BG039168 Corp,425.261,1250000000,532826250000.0
297,2020-02-20,BG039168 Corp,431.878,1250000000,541097500000.0
298,2020-02-21,BG039168 Corp,438.104,1250000000,548880000000.0
299,2020-02-24,BG039168 Corp,494.767,1250000000,619708750000.0
300,2020-02-25,BG039168 Corp,504.859,1250000000,632323750000.0
301,2020-02-26,BG039168 Corp,503.317,1250000000,630396250000.0
302,2020-02-27,BG039168 Corp,560.001,1250000000,701251250000.0
303,2020-02-28,BG039168 Corp,604.175,1250000000,756468750000.0
304,2020-03-02,BG039168 Corp,599.968,1250000000,751210000000.0
305,2020-03-03,BG039168 Corp,542.474,1250000000,679342500000.0
306,2020-03-04,BG039168 Corp,560.115,1250000000,701393750000.0
307,2020-03-05,BG039168 Corp,603.91,1250000000,756137500000.0
308,2020-03-06,BG039168 Corp,671.08,1250000000,840100000000.0
309,2020-03-09,BG039168 Corp,842.31,1250000000,1054137499999.9999
310,2020-03-10,BG039168 Corp,800.607,1250000000,1002008750000.0
312,2019-01-02,AQ405263 Corp,860.299,1000000000,861299000000.0
313,2019-01-03,AQ405263 Corp,886.761,1000000000,887761000000.0
314,2019-01-04,AQ405263 Corp,881.621,1000000000,882621000000.0
315,2019-01-07,AQ405263 Corp,880.161,1000000000,881161000000.0
316,2019-01-08,AQ405263 Corp,858.6,1000000000,859600000000.0
317,2019-01-09,AQ405263 Corp,831.942,1000000000,832942000000.0
318,2019-01-10,AQ405263 Corp,837.303,1000000000,838303000000.0
319,2019-01-11,AQ405263 Corp,824.564,1000000000,825564000000.0
320,2019-01-14,AQ405263 Corp,851.392,1000000000,852392000000.0
321,2019-01-15,AQ405263 Corp,854.875,1000000000,855875000000.0
322,2019-01-16,AQ405263 Corp,828.257,1000000000,829257000000.0
323,2019-01-17,AQ405263 Corp,809.644,1000000000,810644000000.0
324,2019-01-18,AQ405263 Corp,781.715,1000000000,782715000000.0
325,2019-01-21,AQ405263 Corp,792.059,1000000000,793059000000.0
326,2019-01-22,AQ405263 Corp,824.634,1000000000,825634000000.0
327,2019-01-23,AQ405263 Corp,822.388,1000000000,823388000000.0
328,2019-01-24,AQ405263 Corp,806.941,1000000000,807941000000.0
329,2019-01-25,AQ405263 Corp,789.127,1000000000,790127000000.0
330,2019-01-28,AQ405263 Corp,800.386,1000000000,801386000000.0
331,2019-01-29,AQ405263 Corp,804.55,1000000000,805550000000.0
332,2019-01-30,AQ405263 Corp,805.615,1000000000,806615000000.0
333,2019-01-31,AQ405263 Corp,809.854,1000000000,810854000000.0
334,2019-02-01,AQ405263 Corp,850.848,1000000000,851848000000.0
335,2019-02-04,AQ405263 Corp,865.619,1000000000,866619000000.0
336,2019-02-05,AQ405263 Corp,840.226,1000000000,841226000000.0
337,2019-02-06,AQ405263 Corp,829.218,1000000000,830218000000.0
338,2019-02-07,AQ405263 Corp,860.241,1000000000,861241000000.0
339,2019-02-08,AQ405263 Corp,869.255,1000000000,870255000000.0
340,2019-02-11,AQ405263 Corp,869.257,1000000000,870257000000.0
341,2019-02-12,AQ405263 Corp,862.5,1000000000,863500000000.0
342,2019-02-13,AQ405263 Corp,862.953,1000000000,863953000000.0
343,2019-02-14,AQ405263 Corp,869.521,1000000000,870521000000.0
344,2019-02-15,AQ405263 Corp,871.795,1000000000,872795000000.0
345,2019-02-18,AQ405263 Corp,843.606,1000000000,844606000000.0
346,2019-02-19,AQ405263 Corp,844.417,1000000000,845417000000.0
347,2019-02-20,AQ405263 Corp,848.166,1000000000,849166000000.0
348,2019-02-21,AQ405263 Corp,847.35,1000000000,848350000000.0
349,2019-02-22,AQ405263 Corp,854.623,1000000000,855623000000.0
350,2019-02-25,AQ405263 Corp,832.727,1000000000,833727000000.0
351,2019-02-26,AQ405263 Corp,824.904,1000000000,825904000000.0
352,2019-02-27,AQ405263 Corp,825.26,1000000000,826260000000.0
353,2019-02-28,AQ405263 Corp,818.414,1000000000,819414000000.0
354,2019-03-01,AQ405263 Corp,816.322,1000000000,817322000000.0
355,2019-03-04,AQ405263 Corp,823.859,1000000000,824859000000.0
356,2019-03-05,AQ405263 Corp,828.515,1000000000,829515000000.0
357,2019-03-06,AQ405263 Corp,838.133,1000000000,839133000000.0
358,2019-03-07,AQ405263 Corp,832.465,1000000000,833465000000.0
359,2019-03-08,AQ405263 Corp,841.803,1000000000,842803000000.0
360,2019-03-11,AQ405263 Corp,839.65,1000000000,840650000000.0
361,2019-03-12,AQ405263 Corp,823.029,1000000000,824029000000.0
362,2019-03-13,AQ405263 Corp,804.97,1000000000,805970000000.0
363,2019-03-14,AQ405263 Corp,794.087,1000000000,795087000000.0
364,2019-03-15,AQ405263 Corp,789.918,1000000000,790918000000.0
