,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID
Ticker,AM017989 Corp,AM133769 Corp,AN613063 Corp,AO149596 Corp,AP443267 Corp,AQ405263 Corp,AW573460 Corp,AX215440 Corp,AX644490 Corp,BG039168 Corp,EC817487 Corp,ED489316 Corp,EI137104 Corp,EI319358 Corp,EJ415238 Corp,EJ810150 Corp,EJ896023 Corp,EJ959750 Corp,EK238202 Corp,EK460904 Corp,EK480568 Corp,EK693447 Corp,EK779082 Corp,EK807683 Corp,EK818925 Corp,JV468065 Corp,JV594814 Corp,LW155835 Corp,LW283691 Corp,QZ661541 Corp,ZP353961 Corp,ZQ094539 Corp,ZR633952 Corp,ZS106935 Corp
Refdate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-10,533.959,157.079,568.974,185.136,230.499,656.095,180.582,247.545,596.927,,313.573,132.366,66.48,52.482,141.255,177.94,109.915,60.01,535.614,460.403,237.964,116.226,165.187,234.354,138.033,116.685,318.259,233.414,91.626,222.023,,,,208.806
2019-09-11,536.425,157.37,570.154,186.34,230.721,657.405,182.417,249.854,598.127,,313.916,132.943,67.549,58.888,141.917,178.492,111.244,55.613,538.145,463.087,239.215,115.831,178.328,232.632,137.665,117.033,323.233,234.261,90.935,221.734,,,,209.686
2019-09-12,508.924,153.115,516.007,177.309,225.549,610.91,176.209,234.682,561.966,,308.495,125.255,62.547,47.678,131.582,170.294,102.409,51.945,507.031,402.212,228.812,110.8,172.711,226.256,132.071,130.349,259.666,229.428,92.93,216.067,,,,204.424
2019-09-13,496.617,145.342,506.093,191.18,216.58,590.56,168.221,227.366,550.344,,296.305,135.334,57.285,44.33,125.75,164.446,96.22,48.539,502.335,401.062,223.454,103.043,168.139,222.397,128.863,122.871,260.033,219.522,90.561,205.361,,,,195.267
2019-09-16,503.034,147.755,514.188,210.213,219.111,596.423,175.811,221.096,555.014,,298.86,162.22,57.112,44.093,118.397,161.794,91.048,47.828,502.087,415.232,223.894,104.696,146.521,223.326,134.488,119.808,275.218,221.063,87.889,207.437,,,,199.49
2019-09-17,510.498,149.708,530.673,220.262,220.918,608.952,178.272,225.873,568.38,,303.829,180.419,59.345,48.951,123.892,164.284,94.49,48.256,507.271,443.16,227.364,106.384,152.371,225.897,133.412,117.283,311.756,223.782,87.174,209.6,,,,202.712
2019-09-18,518.235,149.857,542.965,222.839,223.751,615.377,179.796,229.651,574.453,,308.866,181.436,59.657,55.239,128.009,168.43,101.074,50.801,513.468,461.624,232.843,107.985,156.296,225.192,133.814,111.905,325.792,226.873,82.0,211.56,,,248.042,205.731
2019-09-19,512.574,149.097,533.973,221.365,224.027,606.343,179.759,228.474,569.457,,310.967,180.614,57.08,49.899,125.606,168.469,96.846,52.478,511.835,450.132,233.108,107.153,152.433,225.882,131.933,112.761,316.375,226.38,81.834,211.547,,,245.598,206.067
