,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID
INDUSTRY_SECTOR,Basic Materials,"Consumer, Cyclical",Energy,Technology,Utilities
Refdate,,,,,
2019-09-10,296.4235,,126.41475,-701.146,53.54639999999999
2019-09-11,296.25199999999995,,130.03125,-697.027,53.0736
2019-09-12,295.8605,,123.9205,-588.098,54.881400000000006
2019-09-13,295.6995,,122.68125,-643.425,51.5856
2019-09-16,288.1585,,124.73025,-625.965,50.1252
2019-09-17,286.549,,127.09975,-650.907,51.807399999999994
2019-09-18,282.728,,130.585,-667.584,52.519000000000005
2019-09-19,285.9935,,130.13675,-683.638,52.933400000000006
2019-09-20,287.127,,130.199,-692.008,52.3754
2019-09-23,299.18699999999995,,134.28075,-662.451,52.50840000000001
2019-09-24,298.45500000000004,,134.95499999999998,-649.182,52.982400000000005
2019-09-25,302.5756666666667,,141.29475,-640.952,52.97339999999999
2019-09-26,306.70174999999995,,141.30875,-649.335,52.4298
2019-09-27,299.1595,,141.95624999999998,-667.514,51.4582
2019-09-30,278.913,,142.0975,-660.239,51.8886
2019-10-01,277.28499999999997,,138.69175,-692.066,51.754599999999996
2019-10-02,293.683,,141.291,-632.298,51.8452
2019-10-03,312.236,,145.586,-603.017,51.4362
2019-10-04,402.69699999999995,,149.112,-589.352,51.440999999999995
2019-10-07,406.451,,152.69324999999998,-540.611,53.248400000000004
2019-10-08,407.9386666666667,,157.87425000000002,-517.617,52.5188
2019-10-09,403.3296666666667,,153.15775,-560.84,62.488166666666665
2019-10-10,402.33,,146.6415,-648.237,62.49483333333333
2019-10-11,359.90375,,142.1285,-675.315,59.00716666666667
2019-10-14,363.244,,144.78875,-699.272,58.494166666666665
2019-10-15,357.774,,142.56075,-668.714,58.961166666666664
2019-10-16,354.91425000000004,,139.9505,-658.052,56.83699999999999
2019-10-17,380.2336666666667,,139.848,-698.082,55.38966666666667
2019-10-18,346.7355,,138.39675,-732.796,54.11700000000001
2019-10-21,354.57025,,137.47400000000002,-699.884,52.51433333333333
2019-10-22,382.05050000000006,374.6165,136.1155,-684.06,52.05166666666667
2019-10-23,387.32875,372.497,137.971,-537.062,52.079499999999996
2019-10-24,386.13625,374.8835,136.199,-475.081,50.89633333333333
2019-10-25,411.04866666666675,378.2175,132.489,-501.501,48.428
2019-10-28,410.58666666666664,369.4165,130.3485,-421.571,47.635
2019-10-29,397.878,364.619,130.37425,-411.6,47.0325
2019-10-30,444.81333333333333,358.304,129.2045,-291.828,45.61433333333333
2019-10-31,443.781,351.336,129.862,-259.797,43.8115
2019-11-01,445.0203333333334,350.621,128.462,-256.557,42.47233333333334
