Refdate,INDUSTRY_SECTOR,0
2019-09-10,Basic Materials,300.14846341463414
2019-09-10,Energy,127.41475
2019-09-10,Technology,-700.146
2019-09-10,Utilities,55.76680401466744
2019-09-11,Basic Materials,299.9738048780488
2019-09-11,Energy,131.03125
2019-09-11,Technology,-696.027
2019-09-11,Utilities,55.27384197029086
2019-09-12,Basic Materials,299.5906422764228
2019-09-12,Energy,124.9205
2019-09-12,Technology,-587.098
2019-09-12,Utilities,56.91848296851856
2019-09-13,Basic Materials,299.3139430894309
2019-09-13,Energy,123.68125
2019-09-13,Technology,-642.425
2019-09-13,Utilities,53.68574946169757
2019-09-16,Basic Materials,291.48753658536583
2019-09-16,Energy,125.73025
2019-09-16,Technology,-624.965
2019-09-16,Utilities,52.28063981017822
2019-09-17,Basic Materials,289.76652032520326
2019-09-17,Energy,128.09975
2019-09-17,Technology,-649.907
2019-09-17,Utilities,54.008931680293685
2019-09-18,Basic Materials,285.8517886178862
2019-09-18,Energy,131.585
2019-09-18,Technology,-666.584
2019-09-18,Utilities,54.755547264575334
2019-09-19,Basic Materials,288.8314552845529
2019-09-19,Energy,131.13675
2019-09-19,Technology,-682.638
2019-09-19,Utilities,55.18049737814072
2019-09-20,Basic Materials,289.83960975609756
2019-09-20,Energy,131.199
2019-09-20,Technology,-691.008
2019-09-20,Utilities,54.66810063906001
2019-09-23,Basic Materials,301.3667606382979
2019-09-23,Energy,135.28075
2019-09-23,Technology,-661.451
2019-09-23,Utilities,54.814273512110454
2019-09-24,Basic Materials,300.44450406504063
2019-09-24,Energy,135.955
2019-09-24,Technology,-648.182
2019-09-24,Utilities,55.27956468611292
2019-09-25,Basic Materials,304.55811170212763
2019-09-25,Energy,142.29475
2019-09-25,Technology,-639.952
2019-09-25,Utilities,55.268547812234125
2019-09-26,Basic Materials,309.5372154471545
2019-09-26,Energy,142.30875
2019-09-26,Technology,-648.335
2019-09-26,Utilities,54.67276126193559
2019-09-27,Basic Materials,302.27828048780486
2019-09-27,Energy,142.95625
2019-09-27,Technology,-666.514
2019-09-27,Utilities,53.71360743011217
2019-09-30,Basic Materials,281.85962601626017
2019-09-30,Energy,143.0975
2019-09-30,Technology,-659.239
2019-09-30,Utilities,54.07437761759694
2019-10-01,Basic Materials,280.2892764227642
2019-10-01,Energy,139.69175
2019-10-01,Technology,-691.066
2019-10-01,Utilities,53.94473566003072
2019-10-02,Basic Materials,296.8895365853659
2019-10-02,Energy,142.291
2019-10-02,Technology,-631.298
2019-10-02,Utilities,54.076072296781994
2019-10-03,Basic Materials,316.0151138211382
2019-10-03,Energy,146.586
2019-10-03,Technology,-602.017
2019-10-03,Utilities,53.65615733359614
2019-10-04,Basic Materials,408.68263829787236
2019-10-04,Energy,150.112
2019-10-04,Technology,-588.352
2019-10-04,Utilities,53.675429860586114
2019-10-07,Basic Materials,412.74739361702126
2019-10-07,Energy,153.69325
2019-10-07,Technology,-539.611
2019-10-07,Utilities,55.525017402409034
2019-10-08,Basic Materials,414.33517021276595
2019-10-08,Energy,158.87425
2019-10-08,Technology,-516.617
2019-10-08,Utilities,54.816022656107705
2019-10-09,Basic Materials,409.51862765957446
2019-10-09,Energy,154.15775
2019-10-09,Technology,-559.84
2019-10-09,Utilities,64.90455802122156
2019-10-10,Basic Materials,408.4237287234043
2019-10-10,Energy,147.6415
2019-10-10,Technology,-647.237
2019-10-10,Utilities,64.9136219613038
2019-10-11,Basic Materials,366.59120731707316
2019-10-11,Energy,143.1285
2019-10-11,Technology,-674.315
2019-10-11,Utilities,61.37267143489598
2019-10-14,Basic Materials,369.8410975609756
2019-10-14,Energy,145.78875
2019-10-14,Technology,-698.272
2019-10-14,Utilities,60.86573814041811
2019-10-15,Basic Materials,364.3820243902439
