,Z_Spread,Z_Spread,Z_Spread,Z_Spread,Z_Spread
INDUSTRY_SECTOR,Basic Materials,"Consumer, Cyclical",Energy,Technology,Utilities
Refdate,,,,,
2019-09-10,300.14846341463414,,127.41475,-700.146,55.76680401466744
2019-09-11,299.9738048780488,,131.03125,-696.027,55.27384197029086
2019-09-12,299.5906422764228,,124.9205,-587.098,56.91848296851856
2019-09-13,299.3139430894309,,123.68125,-642.425,53.68574946169757
2019-09-16,291.48753658536583,,125.73025,-624.965,52.28063981017822
2019-09-17,289.76652032520326,,128.09975,-649.907,54.008931680293685
2019-09-18,285.8517886178862,,131.585,-666.584,54.755547264575334
2019-09-19,288.8314552845529,,131.13675,-682.638,55.18049737814072
2019-09-20,289.83960975609756,,131.199,-691.008,54.66810063906001
2019-09-23,301.3667606382979,,135.28075,-661.451,54.814273512110454
2019-09-24,300.44450406504063,,135.955,-648.182,55.27956468611292
2019-09-25,304.55811170212763,,142.29475,-639.952,55.268547812234125
2019-09-26,309.5372154471545,,142.30875,-648.335,54.67276126193559
2019-09-27,302.27828048780486,,142.95625,-666.514,53.71360743011217
2019-09-30,281.85962601626017,,143.0975,-659.239,54.07437761759694
2019-10-01,280.2892764227642,,139.69175,-691.066,53.94473566003072
2019-10-02,296.8895365853659,,142.291,-631.298,54.076072296781994
2019-10-03,316.0151138211382,,146.586,-602.017,53.65615733359614
2019-10-04,408.68263829787236,,150.112,-588.352,53.675429860586114
2019-10-07,412.74739361702126,,153.69325,-539.611,55.525017402409034
2019-10-08,414.33517021276595,,158.87425,-516.617,54.816022656107705
2019-10-09,409.51862765957446,,154.15775,-559.84,64.90455802122156
2019-10-10,408.4237287234043,,147.6415,-647.237,64.9136219613038
2019-10-11,366.59120731707316,,143.1285,-674.315,61.37267143489598
2019-10-14,369.8410975609756,,145.78875,-698.272,60.86573814041811
2019-10-15,364.3820243902439,,143.56075,-667.714,61.26108256247801
2019-10-16,361.5936544715447,,140.9505,-657.052,59.078804902054614
2019-10-17,386.28728191489364,,140.848,-697.082,57.66677880646465
2019-10-18,353.43017073170734,,139.39675,-731.796,56.408306612682125
2019-10-21,361.5131788617886,,138.474,-698.884,54.78276687303901
2019-10-22,387.0856869918699,375.6165,137.1155,-683.06,54.33041528004511
2019-10-23,392.25138211382114,373.497,138.971,-536.062,54.38407111170477
2019-10-24,391.21934146341465,375.8835,137.199,-474.081,53.1911275641339
2019-10-25,415.89705319148936,379.2175,133.489,-500.501,50.69402422729141
2019-10-28,415.4735159574468,370.4165,131.3485,-420.571,49.87139724357972
2019-10-29,402.6315650406504,365.619,131.37425,-410.6,49.254545526996516
