,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID
Ticker,AL241176 Corp,AL625600 Corp,AN216266 Corp,AN216270 Corp,AN763204 Corp,AP306580 Corp,AQ234625 Corp,AR547092 Corp,AR738766 Corp,AR738776 Corp,AR738797 Corp,AU350157 Corp,AU573105 Corp,AX121571 Corp,AX520482 Corp,AX751637 Corp,BG185059 Corp,BG185061 Corp,ED972798 Corp,EK098732 Corp,EK143492 Corp,EK315595 Corp,EK461618 Corp,EK588292 Corp,EK692104 Corp,EK803079 Corp,EK814844 Corp,EK846452 Corp,JK382986 Corp,JK718671 Corp,QJ587151 Corp,QJ736299 Corp,QZ498658 Corp,QZ975058 Corp,QZ999715 Corp,ZP389518 Corp,ZQ412374 Corp,ZQ412375 Corp,ZR673139 Corp
Refdate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,,,,,,,,,,,,,,,,,,,12.377,,,,,,,,,,,,,,,,,,,,
2019-01-02,19.332,18.349,319.893,322.88,640.574,823.898,468.038,894.194,767.422,458.005,496.772,37.517,768.877,,,,,,12.739,3399.202,430.891,13.527,727.484,346.395,5.868,276.566,377.876,150.086,15.456,516.481,15.682,6.157,359.553,,,,,,
2019-01-03,20.368,19.559,330.941,332.052,656.709,849.992,489.582,914.359,786.824,479.454,512.962,39.173,790.147,,,,,,12.302,3876.537,448.301,14.41,753.619,350.93,6.696,299.113,389.33,151.367,16.364,538.141,16.323,6.973,383.535,,,,,,
2019-01-04,21.146,20.248,328.073,327.515,655.794,847.305,487.156,911.072,787.672,477.229,509.846,39.752,783.541,,,,,,12.401,3976.751,446.314,15.123,753.262,345.348,7.086,293.751,386.947,155.25,17.089,533.919,16.898,8.32,382.592,,,,,,
2019-01-07,21.605,20.37,323.573,324.145,652.991,846.233,474.354,907.72,782.399,464.985,503.709,40.302,777.973,,,,,,13.088,4010.443,434.992,15.546,752.732,341.053,7.538,280.784,376.249,158.225,17.455,530.22,16.529,8.287,371.046,,,,,,
2019-01-08,21.614,20.685,307.277,309.1,634.318,821.748,456.323,886.024,763.633,444.118,491.965,40.476,754.176,,,,,,13.44,3776.031,423.236,15.491,733.473,331.381,7.859,264.528,365.517,159.822,17.734,494.974,16.798000000000002,8.581,353.539,,,,,,
2019-01-09,22.734,25.395,300.332,303.251,605.342,787.275,442.198,843.756,735.064,418.977,471.502,48.831,729.057,,,,,,13.188,3303.73,407.531,16.881,697.962,310.224,8.577,215.207,338.996,160.069,18.564,457.716,19.274,9.478,330.192,,,,,,
2019-01-10,23.284,25.153,306.319,310.216,607.811,790.495,446.487,847.135,737.662,425.045,475.469,49.054,735.422,,,,,,15.514,3413.097,411.834,17.42,694.223,311.958,9.04,212.412,338.172,169.487,19.141,458.275,19.1,9.919,333.885,,,,,,
2019-01-11,23.662,25.275,305.269,308.516,584.232,759.456,426.051,830.054,721.358,418.902,466.581,49.292,718.419,,,,,,15.608,3149.711,408.141,17.327,670.804,310.389,9.113,207.006,333.351,169.788,19.102,434.529,19.181,10.018,325.416,,,,,,
2019-01-14,23.994,25.061,308.553,311.83,601.145,778.737,435.755,845.823,741.082,432.314,475.51,49.187,740.021,,,,,,15.339,3535.891,417.997,17.726,703.322,321.894,9.264,218.427,339.187,170.294,19.304,449.705,19.321,10.253,333.985,,,,,,
2019-01-15,24.109,24.892,307.266,310.51,600.37,770.756,440.566,847.768,740.524,434.827,478.083,49.382,735.995,,,,,,15.328,3517.089,417.686,17.739,699.432,324.135,9.164,219.159,340.299,168.608,19.245,437.64,19.069,10.269,334.164,,,,,,
2019-01-16,24.22,24.965,301.448,304.022,581.719,743.719,429.9,827.175,724.174,421.939,469.505,49.456,695.689,,,,,,15.423,3175.399,407.463,17.875,675.509,317.224,9.157,209.058,334.452,164.774,19.407,404.243,18.918,10.296,324.424,,,,,,
2019-01-17,24.175,25.06,299.417,303.923,579.816,744.03,440.925,828.311,723.378,426.461,474.241,49.511,693.404,,,,,,13.54,3295.854,412.852,17.772,676.609,315.98,9.253,210.127,335.294,162.271,19.319,399.033,19.043,10.48,330.092,,,,,,
2019-01-18,23.786,24.735,299.0,297.565,562.007,714.722,427.121,809.11,706.866,415.693,468.991,49.247,664.198,,,,,,13.692,2845.705,402.012,17.511,636.008,305.45,9.12,195.821,325.403,156.432,18.868,371.287,18.664,10.539,313.798,,,,,,
2019-01-21,23.938,24.696,303.438,301.759,570.343,723.88,425.809,820.698,715.748,415.112,472.238,49.024,675.036,,,,,,13.935,2995.895,401.905,17.537,643.345,300.366,8.855,194.72,321.828,154.425,18.706,382.915,18.726,10.234,312.909,,,,,,
2019-01-22,23.814,24.553,299.838,298.386,589.495,740.354,440.11,844.595,741.542,431.066,483.615,49.209,704.443,,,,,,13.927,3372.343,410.605,17.497,658.802,304.116,8.824,208.298,326.253,154.236,18.68,406.874,18.403,10.106,324.657,,,,,,
2019-01-23,23.883,24.759,299.714,300.637,584.842,733.002,444.229,838.319,737.193,436.436,489.202,49.302,691.332,,,,,,14.481,3248.732,414.132,17.555,645.314,307.494,8.858,218.816,331.347,155.058,18.515,401.203,18.714,10.329,328.718,,,,,,
2019-01-24,23.83,24.469,303.467,302.587,576.067,713.002,448.745,820.047,725.103,441.294,492.343,49.149,676.421,,,,,,13.658,3028.11,414.447,17.501,631.062,309.72,8.572,219.973,334.497,145.985,18.34,386.499,18.762,10.047,330.095,,,,,,
2019-01-25,23.739,24.277,303.318,303.274,557.957,675.949,440.065,800.072,710.908,430.628,485.338,49.186,647.723,,,,,,13.837,2547.039,404.398,17.36,605.045,305.533,8.71,212.656,329.852,140.626,18.174,351.522,18.224,9.707,323.525,,,,,,
2019-01-28,23.714,23.964,305.838,303.628,569.176,680.799,438.53,805.906,720.06,428.258,481.717,49.268,655.626,,,,,,15.168,2580.225,399.164,17.412,613.11,305.721,8.629,212.455,330.251,140.554,18.173,364.051,17.994,9.583,323.294,,,,,,
2019-01-29,23.617,23.818,309.081,307.632,570.539,676.379,438.1,807.54,719.424,428.877,481.495,49.135,658.02,,,,,,14.434,2455.822,399.674,17.394,607.872,306.668,8.779,212.874,331.067,141.005,18.04,363.869,17.964,9.428,323.001,,,,,,
2019-01-30,23.44,23.133,314.902,310.812,573.086,679.745,424.746,813.381,726.478,418.692,471.368,48.611,658.909,,,,,,14.913,2930.019,386.571,17.04,614.91,302.693,8.655,208.275,326.598,138.062,17.794,363.552,17.301,9.054,317.602,,,,,,
2019-01-31,22.965,22.402,321.127,324.362,558.988,665.347,400.155,795.786,716.794,392.215,452.853,48.213,642.243,,,,,,13.694,2469.149,365.781,16.434,586.906,293.846,8.296,189.094,315.96,132.348,17.592,340.434,16.351,9.032,295.718,,,,,,
2019-02-01,22.404,21.728,317.788,318.613,580.184,675.347,403.435,803.866,733.056,393.341,450.673,47.723,652.802,,,,,,13.046,2670.686,366.946,16.103,594.869,291.903,7.731,192.591,311.575,130.047,16.834,357.532,15.932,8.703,292.908,,,,,,
2019-02-04,21.805,21.757,313.422,315.661,593.01,682.789,404.055,808.708,750.04,396.259,450.822,47.597,662.85,,,,,,12.554,2839.017,366.965,15.998,604.782,292.451,8.355,198.277,312.255,132.28,16.791,368.858,15.065,8.262,289.477,,,,,,
2019-02-05,20.706,21.883,306.696,307.158,579.717,674.394,386.181,799.768,740.48,383.374,440.407,47.584,657.226,,,,,,11.555,2707.019,357.001,15.391,592.3,289.165,8.124,194.096,306.216,132.36,16.352,360.229,14.867,7.573,273.493,,,,,,
2019-02-06,19.32,20.62,292.128,292.052,563.701,627.957,377.358,753.478,721.525,374.949,434.206,46.605,637.42,,,,,,11.099,1423.893,352.911,13.782,547.666,288.051,7.089,192.292,305.173,131.404,15.429,347.929,13.891,6.471,266.784,,,,,,
2019-02-07,18.519,18.996,299.26,295.229,583.753,642.729,403.521,769.263,742.59,399.969,458.451,45.601,656.574,,,,,,11.296,1670.019,372.643,13.096,567.795,299.857,6.012,214.179,321.056,130.522,13.632,369.769,12.521,5.877,291.179,,,,,,
2019-02-08,18.266,18.097,309.832,307.222,590.341,650.835,421.065,775.976,750.926,416.35,466.688,45.136,664.999,,,,,,10.221,1707.56,383.311,12.856,581.784,314.278,5.797,227.106,329.903,131.495,13.068,377.489,12.335,5.209,302.784,,,,,,
2019-02-11,17.728,17.307,308.51,306.992,592.047,656.873,416.746,779.514,750.081,415.093,462.588,44.641,665.998,364.407,,,,,10.685,993.878,375.869,12.557,588.704,311.141,5.583,226.585,326.591,132.058,12.539,381.291,11.419,4.616,299.2,,,,,,
2019-02-12,16.794,17.17,304.436,303.458,588.714,682.954,382.967,803.667,747.138,391.48,443.769,44.568,661.264,360.295,,,,,8.805,3988.744,351.289,11.898,627.506,296.145,5.34,218.279,312.994,131.528,12.429,373.921,11.198,5.088,279.72,,,,,,
2019-02-13,16.538,16.734,301.929,298.488,584.755,669.927,379.87,799.759,745.56,387.155,439.226,44.614,653.53,362.823,,,,,9.527,1187.323,348.035,11.744,597.363,289.057,4.703,214.301,306.545,130.522,12.098,361.357,11.066,4.136,280.018,,,,,,
2019-02-14,16.005,16.574,300.894,297.932,584.708,671.187,381.588,807.958,750.912,390.209,444.034,44.211,654.72,369.394,,,,,7.5600000000000005,1230.348,349.448,11.47,595.44,289.179,4.303,214.532,304.818,130.896,11.74,359.008,10.821,3.6790000000000003,282.613,,,,,,
