Refdate;Italy;Spain;France;;;
02/01/2019;416.6478134;547.6483649;451.9282034;;;
03/01/2019;423.347309;566.2188919;465.6052673;;;
04/01/2019;432.6087588;563.4717973;465.4102988;;;
07/01/2019;427.2655575;557.0664865;462.5763753;;;
08/01/2019;434.2813838;538.6765541;457.2164284;;;
09/01/2019;417.1865847;512.0243919;441.9654555;;;
10/01/2019;415.6809476;514.7392297;442.700806;;;
11/01/2019;414.9855919;501.755027;433.8912586;;;
14/01/2019;415.9477857;515.768027;436.8134653;;;
15/01/2019;414.0024167;514.8712297;431.8978938;;;
16/01/2019;405.5546341;498.8126081;419.1944331;;;
17/01/2019;405.838296;500.1250135;415.9618507;;;
18/01/2019;397.2302923;483.0676081;399.2317168;;;
21/01/2019;399.3904828;487.3127297;392.474168;;;
22/01/2019;411.8209569;501.427;399.7108008;;;
23/01/2019;412.2594388;500.3056081;402.0685297;;;
24/01/2019;406.493399;495.1904189;393.8497943;;;
25/01/2019;397.6722917;480.7678649;394.6067967;;;
28/01/2019;400.3701408;483.9281892;387.8386102;;;
29/01/2019;399.7181857;484.0753108;389.4021189;;;
30/01/2019;395.9412694;482.7707027;394.3434187;;;
31/01/2019;386.1065784;467.281473;387.6428765;;;
01/02/2019;396.8472256;472.2646351;378.2075797;;;
04/02/2019;400.4363345;476.8919324;379.6238436;;;
05/02/2019;389.5860258;467.2107297;364.2531193;;;
06/02/2019;384.4225507;449.6632703;360.8957757;;;
07/02/2019;395.7219404;468.1343649;369.5239239;;;
08/02/2019;406.4559905;478.9236757;376.1123615;;;
11/02/2019;398.882522;472.9811538;374.7530346;;;
12/02/2019;394.3991658;469.2172821;368.1276505;;;
13/02/2019;390.6030288;462.6121923;361.5454355;;;
14/02/2019;391.4080705;464.3617051;366.0251272;;;
15/02/2019;398.6597198;467.3605128;363.7209105;;;
18/02/2019;389.3256286;458.5330769;360.283712;;;
19/02/2019;382.0642796;456.5969615;357.7210914;;;
20/02/2019;387.885831;459.1334615;358.2469072;;;
21/02/2019;385.9788907;458.6427692;356.9348591;;;
22/02/2019;387.0002385;460.5860641;357.8964184;;;
25/02/2019;376.027914;446.4534872;352.4089735;;;
26/02/2019;368.1928838;434.4832692;345.1795386;;;
27/02/2019;361.434837;426.8309359;338.3119233;;;
28/02/2019;357.7315921;418.3766154;334.6471285;;;
01/03/2019;355.0707178;420.2039487;334.5879191;;;
04/03/2019;355.3710233;423.1762821;335.3637398;;;
05/03/2019;350.9006298;426.4931026;337.094843;;;
06/03/2019;358.8975464;440.5245;343.4798487;;;
07/03/2019;352.3595507;444.0574712;348.8491011;;;
08/03/2019;366.772859;450.5621851;354.93415;;;
11/03/2019;356.5905446;441.3941875;352.3116779;;;
12/03/2019;350.6787394;431.1139928;342.0051674;;;
13/03/2019;345.7080703;422.1492332;333.6561512;;;
14/03/2019;348.5766961;411.6383582;325.0330327;;;
15/03/2019;349.6851737;412.5634736;323.6371619;;;
18/03/2019;337.0157059;408.4697356;323.4631962;;;
19/03/2019;333.7304038;408.9229375;322.8099984;;;
20/03/2019;339.4889467;422.8976635;330.3728855;;;
