Refdate;TotalDelta2;TotalDV01;Octante Bonds Price Index;PETBRA 5.999 01/27/28;BRAZIL 5 5/8 02/21/47;;
02/01/2020;24043607.88;8619.540031;100;100;100;;
03/01/2020;24100964;8611.143997;100.2082018;100.0607685;100.1185821;;
06/01/2020;24161852.25;8606.558037;100.3517205;99.99256788;100.0537807;;
07/01/2020;24217817.5;8673.867729;100.4478034;100.1267832;100.0996266;;
08/01/2020;24252776;8680.656021;100.4304603;100.1114817;100.0476092;;
09/01/2020;24327553.75;8683.56797;100.5658389;100.3860329;100.5184111;;
10/01/2020;24368541.75;8699.672585;100.7720309;101.14236;101.1593717;;
13/01/2020;24389359;8695.853279;100.8154088;101.1978823;100.9327873;;
14/01/2020;24393540.13;8695.014015;100.7676177;100.9508737;100.82214;;
15/01/2020;24415395.13;8700.805641;100.9385368;100.9543712;101.1122034;;
16/01/2020;24447712.63;8684.679375;101.1087977;101.1672795;101.5755112;;
17/01/2020;24467200;8687.32299;101.0931094;101.2477212;101.4216631;;
20/01/2020;24467121.03;8682.323387;101.0843518;101.2477212;101.4216631;;
21/01/2020;24490492.38;8698.923859;101.2058281;101.3268514;101.5076241;;
22/01/2020;24505687.88;8695.532341;101.3701467;101.4684988;101.4053525;;
23/01/2020;24514628.25;8677.347542;101.3642488;101.4531973;101.2012502;;
24/01/2020;24522178.75;8671.34716;101.3985885;101.5847895;101.3052851;;
27/01/2020;24478417.5;8654.391113;101.2387474;101.3670722;101.1919928;;
28/01/2020;24490320.75;8652.988579;101.2380905;101.4663128;101.4864644;;
29/01/2020;24508672.88;8663.209869;101.5383346;101.6236988;102.724744;;
30/01/2020;24528924.88;8651.914848;101.5744663;101.7618488;102.9213523;;
31/01/2020;24529054.75;8645.31208;101.6357987;102.0324652;103.526606;;
03/02/2020;24541966.5;8646.649658;101.5404538;102.0311537;103.2519716;;
04/02/2020;24557990.88;8650.595512;101.2429129;101.8584663;102.9707248;;
05/02/2020;24583302;8654.29203;101.186414;101.9227322;102.9808638;;
06/02/2020;24632198.13;8655.837021;101.5170554;102.1745498;103.3811335;;
07/02/2020;24649182.5;8661.203079;101.6217406;102.3629758;103.6592946;;
10/02/2020;24683695.5;8668.3013;101.6617162;102.3913927;104.214735;;
11/02/2020;24722557;8676.112724;101.792969;102.6239743;104.7692938;;
12/02/2020;24747012.88;8681.625801;101.9335892;102.5855021;105.3494205;;
13/02/2020;24781570.63;8670.272911;102.0827777;102.5562108;105.7161876;;
14/02/2020;24789832.38;8667.447411;102.2863101;102.7590639;107.1149277;;
17/02/2020;24789748.44;8662.336449;102.2864091;102.7590639;107.1149277;;
18/02/2020;24803796.25;8667.346039;102.3751923;102.792727;107.5954278;;
19/02/2020;24832451;8675.774185;102.4101444;102.6808081;107.7550067;;
20/02/2020;24886051.13;8679.340721;102.9032478;103.4423814;109.1105459;;
21/02/2020;25900407.75;9115.429329;102.9768122;103.379427;108.938183;;
26/02/2020;25629405.88;8974.983566;101.6264673;101.7920144;108.1402884;;
27/02/2020;21926977.5;7481.661263;100.3348576;100.2046018;105.8621009;;
28/02/2020;20686789.75;6967.485817;99.49241998;99.47406847;105.8775298;;
02/03/2020;21814001.13;7628.822205;99.91715561;101.1135059;106.6776285;;
03/03/2020;23184334;8405.340393;100.8705808;102.6532655;108.9725674;;
04/03/2020;19276226;7077.121689;101.4939443;103.9858003;110.6349213;;
05/03/2020;13314364.34;4407.871969;100.7799846;103.4568085;109.2176665;;
06/03/2020;13183004.38;4145.538218;100.1263282;102.6794965;111.012709;;
09/03/2020;12444130.78;4096.370432;94.69961494;96.40547878;105.5724784;;
10/03/2020;12500833.78;4044.199125;94.25651642;95.90271797;105.8929587;;
11/03/2020;8932885.492;2782.744673;92.28709478;93.78762509;101.3780213;;
12/03/2020;8510561.84;2650.483213;88.62186327;85.62584978;91.8407561;;
13/03/2020;8792892.75;2726.311914;89.52186613;88.26687418;94.69069461;;
16/03/2020;8282565.859;2513.11628;85.95368436;84.62776027;89.00668733;;
17/03/2020;8192903.059;2487.58168;83.92636877;82.28096023;87.86009954;;
18/03/2020;8002687.141;2338.049902;79.47636308;78.18192946;77.26132592;;
19/03/2020;7345846.699;2157.871919;76.49276297;72.97507618;77.01049606;;
20/03/2020;7277521.398;2164.614664;77.15821289;76.0270529;80.10288873;;
23/03/2020;7202804.379;2144.631067;75.67710485;74.1248683;79.83354419;;
24/03/2020;7262131.41;2157.702105;76.28153931;75.3773985;85.39147531;;
25/03/2020;7270086.91;2095.98278;78.92432286;79.34527427;92.22383369;;
26/03/2020;7773940.602;2421.055342;81.36630693;84.5062233;95.49872822;;
27/03/2020;6333285.609;1959.117414;80.52839485;84.54906727;92.34990985;;
30/03/2020;6277001.309;1937.529467;80.24211545;83.65327866;91.15923949;;
31/03/2020;6362070.551;1928.489033;80.81367565;84.30337025;91.19670968;;
01/04/2020;6293620.84;1922.81859;79.83161456;83.0678902;87.92181514;;
02/04/2020;6212197.238;1896.011936;80.42823212;82.87334362;86.82592232;;
03/04/2020;6189356.809;1883.443272;80.4535988;82.96777522;84.89510551;;
