Refdate,ABEV3 BS Equity,BRFS3 BS Equity,CCRO3 BS Equity,CIEL3 BS Equity,COGN3 BS Equity,ECOR3 BS Equity,FLRY3 BS Equity,GNDI3 BS Equity,HAPV3 BS Equity,HYPE3 BS Equity,JBSS3 BS Equity,MRFG3 BS Equity,NTCO3 BS Equity,QUAL3 BS Equity,RENT3 BS Equity,YDUQ3 BS Equity
2020-01-02,19.2,35.88,19.0,8.57,12.2,16.3,31.02,71.66,66.44,36.0,27.2,10.06,38.33,39.2,49.62,46.75
2020-01-03,18.93,35.94,18.79,8.46,12.15,16.17,30.11,73.0,69.25,36.74,27.47,10.28,41.0,40.01,48.9,45.77
2020-01-06,19.02,35.57,18.31,8.25,11.99,16.08,31.0,69.99,66.96,35.9,26.82,10.09,40.13,41.65,48.33,46.65
2020-01-07,19.06,35.16,18.72,8.01,12.08,16.44,31.32,67.6,65.12,35.55,27.3,10.4,40.78,40.59,48.8,45.78
2020-01-08,18.97,36.51,18.59,7.83,12.0,16.48,31.13,68.0,63.78,35.09,27.97,10.66,40.99,39.81,48.56,45.51
2020-01-09,18.82,36.84,18.14,7.35,12.1,16.43,31.71,68.37,63.4,35.84,28.31,10.91,42.0,40.1,48.82,45.91
2020-01-10,18.89,36.34,18.17,7.4,12.2,16.37,31.15,68.78,62.05,36.03,28.16,10.75,42.89,40.65,47.85,46.11
2020-01-13,19.21,36.7,18.3,7.43,12.55,16.65,31.0,69.96,62.39,37.19,28.73,11.05,43.73,41.95,48.0,47.7
2020-01-14,19.1,36.55,18.91,7.49,12.79,17.36,31.46,70.92,62.5,37.81,28.7,11.36,44.26,42.96,48.2,48.7
2020-01-15,18.76,36.47,18.51,7.27,12.35,17.5,31.23,72.88,61.01,37.32,28.61,11.91,44.58,42.39,48.21,48.27
2020-01-16,18.7,35.87,18.78,7.3,12.02,17.99,31.24,71.9,63.06,37.5,28.81,12.1,45.41,41.63,49.15,48.5
2020-01-17,18.7,35.75,19.03,7.23,11.67,18.2,31.39,74.1,63.0,37.42,29.75,12.1,45.88,41.81,49.49,50.0
2020-01-20,18.8,36.05,19.45,7.05,11.53,18.4,32.23,76.33,63.15,37.75,29.82,12.27,46.5,42.6,49.6,52.0
