,Index_Value,Index_Value,Index_Value,Index_Value,Index_Value,Index_Value,Index_Value,Index_Value,Index_Value
INDUSTRY_SECTOR,Basic Materials,Communications,"Consumer, Cyclical","Consumer, Non-cyclical",Energy,Financial,Industrial,Technology,Utilities
Refdate,,,,,,,,,
2020-01-02,180.35,178.15000000000003,481.56,527.43,191.54999999999998,667.1999999999999,100.60000000000001,69.15,279.74
2020-01-03,180.63,177.56,475.17999999999995,532.9699999999999,191.39999999999998,669.19,100.22,70.62,277.97999999999996
2020-01-06,181.25,174.95,466.50999999999993,526.7399999999999,190.29000000000002,661.7700000000001,99.28999999999999,69.01,276.95
2020-01-07,181.76999999999998,175.73000000000002,465.66999999999996,522.7099999999999,191.54,660.6899999999999,100.08,69.3,277.62
2020-01-08,185.33999999999997,176.81,468.56999999999994,521.88,189.25999999999996,655.89,98.97,68.37,277.05000000000007
2020-01-09,184.9,180.73000000000002,474.62999999999994,525.05,187.85,655.2799999999999,98.88,69.5,279.55
2020-01-10,185.09000000000003,180.65,470.6500000000001,523.79,188.71,649.17,99.3,68.98,282.40000000000003
2020-01-13,190.85,184.79,480.43000000000006,532.54,191.45,655.61,101.18,69.65,286.88
2020-01-14,190.14000000000004,184.08999999999997,485.33000000000004,539.0699999999999,193.54000000000002,656.79,102.25,69.65,288.4
2020-01-15,189.31,184.51,480.77,537.27,190.52,649.76,100.83,69.82,286.26
2020-01-16,189.48999999999998,185.89999999999998,480.94000000000005,539.96,191.51999999999998,651.8700000000001,100.47,69.83,287.84999999999997
2020-01-17,191.57999999999998,187.80999999999997,489.11000000000007,545.5200000000001,194.72,664.6399999999999,101.41000000000001,72.36,288.99
2020-01-20,192.70999999999998,192.76000000000002,495.40000000000003,553.5299999999999,197.41000000000003,666.22,102.91000000000001,72.88,290.07
2020-01-21,190.79,193.21,491.78999999999996,549.59,193.76,655.09,101.26,72.2,288.53
2020-01-22,196.85,194.25,493.82000000000005,553.0,197.15999999999997,664.78,104.12,74.08,293.18
2020-01-23,198.33000000000004,193.63,498.12000000000006,556.08,198.82,673.71,105.21,74.87,295.35
2020-01-24,193.07999999999998,190.80999999999997,493.67999999999995,550.75,198.1,665.28,106.07,73.46,294.44
2020-01-27,180.01000000000002,188.18,479.53,532.9,191.74,643.51,103.82000000000001,72.26,287.84000000000003
2020-01-28,180.76000000000002,192.43,491.59999999999997,544.4200000000001,195.6,653.57,104.94,74.55,296.21999999999997
2020-01-29,177.67,191.93,491.58,539.0,193.95999999999998,648.3199999999999,105.37,73.5,292.43
2020-01-30,177.63,189.26,484.43,536.76,195.54000000000002,649.28,103.47999999999999,72.7,289.23
2020-01-31,173.6,185.82,477.31,533.8399999999999,192.55999999999997,641.5299999999999,101.50000000000001,74.65,285.24
2020-02-03,177.01999999999998,187.36,479.18000000000006,548.1899999999999,195.13999999999996,643.28,102.56,78.42,287.65
2020-02-04,179.11,190.46,483.67999999999995,552.8100000000001,195.13999999999996,645.39,103.46000000000001,78.0,289.92
2020-02-05,180.91000000000003,190.73000000000002,483.41999999999996,549.38,196.17000000000002,652.75,104.38999999999999,78.25,291.68
2020-02-06,178.31,187.45,474.20000000000005,540.44,195.82999999999998,645.9899999999999,106.14000000000001,76.67,285.38
2020-02-07,173.58,182.75,463.82000000000005,529.07,192.47000000000003,640.62,103.25,75.46,280.04999999999995
2020-02-10,169.37999999999997,179.46,457.16,518.74,192.29999999999998,626.27,102.92,74.53,274.26
2020-02-11,176.26,185.67,469.63000000000005,533.46,200.39,644.81,106.52,75.21,279.16
2020-02-12,179.05999999999995,187.41000000000003,474.24000000000007,543.48,202.70999999999998,651.1100000000001,109.85,78.4,282.68999999999994
2020-02-13,178.79999999999998,188.8,473.2799999999999,539.7800000000001,200.53,645.1699999999998,110.22000000000001,78.1,281.26
2020-02-14,174.47,184.36,471.71,538.61,198.36000000000004,635.66,108.49000000000001,77.7,282.34
2020-02-17,177.89,185.44000000000003,475.22,543.14,197.25,636.79,108.33000000000003,83.72,285.01000000000005
