,Refdate,INDUSTRY_SECTOR,Index_Value,Country
0,2020-01-02,Basic Materials,180.35,Brazil
1,2020-01-02,Communications,178.15000000000003,Brazil
2,2020-01-02,"Consumer, Cyclical",481.56,Brazil
3,2020-01-02,"Consumer, Non-cyclical",527.43,Brazil
4,2020-01-02,Energy,191.54999999999998,Brazil
5,2020-01-02,Financial,667.1999999999999,Brazil
6,2020-01-02,Industrial,100.60000000000002,Brazil
7,2020-01-02,Technology,69.15,Brazil
8,2020-01-02,Utilities,279.74,Brazil
9,2020-01-03,Basic Materials,180.63,Brazil
10,2020-01-03,Communications,177.56,Brazil
11,2020-01-03,"Consumer, Cyclical",475.17999999999995,Brazil
12,2020-01-03,"Consumer, Non-cyclical",532.9699999999999,Brazil
13,2020-01-03,Energy,191.39999999999998,Brazil
14,2020-01-03,Financial,669.19,Brazil
15,2020-01-03,Industrial,100.22,Brazil
16,2020-01-03,Technology,70.62,Brazil
17,2020-01-03,Utilities,277.97999999999996,Brazil
18,2020-01-06,Basic Materials,181.25,Brazil
19,2020-01-06,Communications,174.95,Brazil
20,2020-01-06,"Consumer, Cyclical",466.50999999999993,Brazil
21,2020-01-06,"Consumer, Non-cyclical",526.7399999999999,Brazil
22,2020-01-06,Energy,190.29000000000002,Brazil
23,2020-01-06,Financial,661.7700000000001,Brazil
24,2020-01-06,Industrial,99.28999999999999,Brazil
25,2020-01-06,Technology,69.01,Brazil
26,2020-01-06,Utilities,276.95,Brazil
27,2020-01-07,Basic Materials,181.76999999999998,Brazil
28,2020-01-07,Communications,175.73000000000002,Brazil
29,2020-01-07,"Consumer, Cyclical",465.66999999999996,Brazil
30,2020-01-07,"Consumer, Non-cyclical",522.7099999999999,Brazil
31,2020-01-07,Energy,191.54,Brazil
32,2020-01-07,Financial,660.6899999999999,Brazil
33,2020-01-07,Industrial,100.08000000000001,Brazil
34,2020-01-07,Technology,69.3,Brazil
35,2020-01-07,Utilities,277.62,Brazil
36,2020-01-08,Basic Materials,185.33999999999997,Brazil
37,2020-01-08,Communications,176.81,Brazil
38,2020-01-08,"Consumer, Cyclical",468.57,Brazil
39,2020-01-08,"Consumer, Non-cyclical",521.88,Brazil
40,2020-01-08,Energy,189.26,Brazil
41,2020-01-08,Financial,655.8899999999999,Brazil
42,2020-01-08,Industrial,98.97,Brazil
43,2020-01-08,Technology,68.37,Brazil
44,2020-01-08,Utilities,277.05000000000007,Brazil
45,2020-01-09,Basic Materials,184.9,Brazil
46,2020-01-09,Communications,180.73000000000002,Brazil
47,2020-01-09,"Consumer, Cyclical",474.63,Brazil
48,2020-01-09,"Consumer, Non-cyclical",525.05,Brazil
49,2020-01-09,Energy,187.85000000000002,Brazil
50,2020-01-09,Financial,655.2799999999999,Brazil
51,2020-01-09,Industrial,98.88000000000001,Brazil
52,2020-01-09,Technology,69.5,Brazil
53,2020-01-09,Utilities,279.55,Brazil
54,2020-01-10,Basic Materials,185.09000000000003,Brazil
55,2020-01-10,Communications,180.65,Brazil
56,2020-01-10,"Consumer, Cyclical",470.65000000000003,Brazil
57,2020-01-10,"Consumer, Non-cyclical",523.79,Brazil
58,2020-01-10,Energy,188.71,Brazil
59,2020-01-10,Financial,649.17,Brazil
60,2020-01-10,Industrial,99.29999999999998,Brazil
61,2020-01-10,Technology,68.98,Brazil
62,2020-01-10,Utilities,282.40000000000003,Brazil
63,2020-01-13,Basic Materials,190.85,Brazil
64,2020-01-13,Communications,184.79,Brazil
65,2020-01-13,"Consumer, Cyclical",480.43000000000006,Brazil
66,2020-01-13,"Consumer, Non-cyclical",532.54,Brazil
67,2020-01-13,Energy,191.44999999999996,Brazil
68,2020-01-13,Financial,655.61,Brazil
69,2020-01-13,Industrial,101.17999999999999,Brazil
70,2020-01-13,Technology,69.65,Brazil
71,2020-01-13,Utilities,286.88,Brazil
72,2020-01-14,Basic Materials,190.14000000000004,Brazil
73,2020-01-14,Communications,184.08999999999997,Brazil
74,2020-01-14,"Consumer, Cyclical",485.3300000000001,Brazil
75,2020-01-14,"Consumer, Non-cyclical",539.0699999999999,Brazil
76,2020-01-14,Energy,193.54000000000002,Brazil
77,2020-01-14,Financial,656.79,Brazil
78,2020-01-14,Industrial,102.25000000000001,Brazil
79,2020-01-14,Technology,69.65,Brazil
80,2020-01-14,Utilities,288.4,Brazil
81,2020-01-15,Basic Materials,189.31,Brazil
82,2020-01-15,Communications,184.51,Brazil
83,2020-01-15,"Consumer, Cyclical",480.77,Brazil
84,2020-01-15,"Consumer, Non-cyclical",537.27,Brazil
85,2020-01-15,Energy,190.52,Brazil
86,2020-01-15,Financial,649.76,Brazil
87,2020-01-15,Industrial,100.83,Brazil
88,2020-01-15,Technology,69.82,Brazil
89,2020-01-15,Utilities,286.26,Brazil
90,2020-01-16,Basic Materials,189.48999999999998,Brazil
91,2020-01-16,Communications,185.89999999999998,Brazil
92,2020-01-16,"Consumer, Cyclical",480.94,Brazil
93,2020-01-16,"Consumer, Non-cyclical",539.96,Brazil
94,2020-01-16,Energy,191.51999999999998,Brazil
95,2020-01-16,Financial,651.87,Brazil
96,2020-01-16,Industrial,100.47,Brazil
97,2020-01-16,Technology,69.83,Brazil
98,2020-01-16,Utilities,287.84999999999997,Brazil
99,2020-01-17,Basic Materials,191.57999999999998,Brazil
100,2020-01-17,Communications,187.80999999999997,Brazil
101,2020-01-17,"Consumer, Cyclical",489.11,Brazil
102,2020-01-17,"Consumer, Non-cyclical",545.5200000000001,Brazil
103,2020-01-17,Energy,194.72,Brazil
104,2020-01-17,Financial,664.64,Brazil
105,2020-01-17,Industrial,101.41,Brazil
106,2020-01-17,Technology,72.36,Brazil
107,2020-01-17,Utilities,288.99,Brazil
108,2020-01-20,Basic Materials,192.70999999999998,Brazil
109,2020-01-20,Communications,192.76000000000002,Brazil
110,2020-01-20,"Consumer, Cyclical",495.4000000000001,Brazil
111,2020-01-20,"Consumer, Non-cyclical",553.5299999999999,Brazil
112,2020-01-20,Energy,197.41,Brazil
113,2020-01-20,Financial,666.22,Brazil
114,2020-01-20,Industrial,102.91000000000001,Brazil
115,2020-01-20,Technology,72.88,Brazil
116,2020-01-20,Utilities,290.07,Brazil
117,2020-01-21,Basic Materials,190.79,Brazil
118,2020-01-21,Communications,193.21,Brazil
119,2020-01-21,"Consumer, Cyclical",491.78999999999996,Brazil
120,2020-01-21,"Consumer, Non-cyclical",549.59,Brazil
121,2020-01-21,Energy,193.76,Brazil
122,2020-01-21,Financial,655.09,Brazil
123,2020-01-21,Industrial,101.25999999999999,Brazil
124,2020-01-21,Technology,72.2,Brazil
125,2020-01-21,Utilities,288.53,Brazil
126,2020-01-22,Basic Materials,196.85,Brazil
127,2020-01-22,Communications,194.25,Brazil
128,2020-01-22,"Consumer, Cyclical",493.82000000000005,Brazil
129,2020-01-22,"Consumer, Non-cyclical",553.0,Brazil
130,2020-01-22,Energy,197.15999999999997,Brazil
131,2020-01-22,Financial,664.78,Brazil
132,2020-01-22,Industrial,104.12,Brazil
133,2020-01-22,Technology,74.08,Brazil
134,2020-01-22,Utilities,293.18,Brazil
135,2020-01-23,Basic Materials,198.33000000000004,Brazil
136,2020-01-23,Communications,193.63,Brazil
137,2020-01-23,"Consumer, Cyclical",498.12000000000006,Brazil
138,2020-01-23,"Consumer, Non-cyclical",556.08,Brazil
139,2020-01-23,Energy,198.82,Brazil
140,2020-01-23,Financial,673.7099999999999,Brazil
141,2020-01-23,Industrial,105.21,Brazil
142,2020-01-23,Technology,74.87,Brazil
143,2020-01-23,Utilities,295.35,Brazil
144,2020-01-24,Basic Materials,193.07999999999998,Brazil
145,2020-01-24,Communications,190.80999999999997,Brazil
146,2020-01-24,"Consumer, Cyclical",493.6799999999999,Brazil
147,2020-01-24,"Consumer, Non-cyclical",550.75,Brazil
148,2020-01-24,Energy,198.1,Brazil
149,2020-01-24,Financial,665.28,Brazil
150,2020-01-24,Industrial,106.07,Brazil
151,2020-01-24,Technology,73.46,Brazil
152,2020-01-24,Utilities,294.44,Brazil
153,2020-01-27,Basic Materials,180.01000000000002,Brazil
154,2020-01-27,Communications,188.18,Brazil
155,2020-01-27,"Consumer, Cyclical",479.53,Brazil
156,2020-01-27,"Consumer, Non-cyclical",532.9,Brazil
157,2020-01-27,Energy,191.74,Brazil
158,2020-01-27,Financial,643.51,Brazil
159,2020-01-27,Industrial,103.82000000000001,Brazil
160,2020-01-27,Technology,72.26,Brazil
161,2020-01-27,Utilities,287.84000000000003,Brazil
162,2020-01-28,Basic Materials,180.76000000000002,Brazil
163,2020-01-28,Communications,192.43,Brazil
164,2020-01-28,"Consumer, Cyclical",491.59999999999997,Brazil
165,2020-01-28,"Consumer, Non-cyclical",544.4200000000001,Brazil
166,2020-01-28,Energy,195.6,Brazil
167,2020-01-28,Financial,653.57,Brazil
168,2020-01-28,Industrial,104.94,Brazil
169,2020-01-28,Technology,74.55,Brazil
170,2020-01-28,Utilities,296.21999999999997,Brazil
171,2020-01-29,Basic Materials,177.67,Brazil
172,2020-01-29,Communications,191.93,Brazil
173,2020-01-29,"Consumer, Cyclical",491.58,Brazil
174,2020-01-29,"Consumer, Non-cyclical",539.0,Brazil
175,2020-01-29,Energy,193.95999999999998,Brazil
176,2020-01-29,Financial,648.3199999999999,Brazil
