Refdate;Product;ISIN;Country; Outstanding ; Px_Mid ; Country_Weight ; PP ; SP ;;; Ponderado Pais ;;
11/08/2020;AESGEN 4 7/8 05/25/29;USP3713QAA50;Chile; 388,401,700.00 ; 106.95 ; 0.30 ; 0.30 ; 0.16 ;;;BZ; 108.23 ;0.7
11/08/2020;AESGEN 4.56 04/30/25;USP3711HAF66;Chile; 500,000,000.00 ; 82.90 ; 0.30 ; 0.30 ; 0.16 ;;;LATAM; 97.18 ;0.3
11/08/2020;AESGEN 5 07/14/25;USP0607LAB91;Chile; 117,488,000.00 ; 97.77 ; 0.30 ; 0.08 ; 0.04 ;;;;; 104.91 
11/08/2020;ALFAA 5 1/4 03/25/24;USP0156PAB50;Mexico; 500,000,000.00 ; 108.10 ; 0.30 ; 0.39 ; 0.21 ;;;;;
11/08/2020;ALFAA 6 7/8 03/25/44;USP0156PAC34;Mexico; 500,000,000.00 ; 117.53 ; 0.30 ; 0.42 ; 0.23 ;;;;;
11/08/2020;ALIPE 3 7/8 03/20/23;USP0161KDN02;Peru; 62,282,000.00 ; 98.70 ; 0.30 ; 0.04 ; 0.02 ;;;Sem Ponderar;;
11/08/2020;ALPEKA 4 1/2 11/20/22;USP01703AA82;Mexico; 650,000,000.00 ; 103.99 ; 0.30 ; 0.49 ; 0.26 ;;; 102.31 ;;
11/08/2020;ALPEKA 5 3/8 08/08/23;USP01703AB65;Mexico; 300,000,000.00 ; 106.88 ; 0.30 ; 0.23 ; 0.12 ;;;;;
11/08/2020;AVALCB 4 3/4 09/26/22;USG42045AB32;Colombia; 1,000,000,000.00 ; 102.96 ; 0.30 ; 0.74 ; 0.40 ;;;;;
11/08/2020;BANBOG 4 3/8 08/03/27;USP09252AM29;Colombia; 600,000,000.00 ; 104.51 ; 0.30 ; 0.45 ; 0.24 ;;;;;
11/08/2020;BANBOG 5 3/8 02/19/23;USP09252AC47;Colombia; 500,000,000.00 ; 105.28 ; 0.30 ; 0.38 ; 0.20 ;;;;;
11/08/2020;BANBOG 6 1/4 05/12/26;USP09252AK62;Colombia; 1,100,000,000.00 ; 106.84 ; 0.30 ; 0.84 ; 0.45 ;;;;;
11/08/2020;BANGAN 4 7/8 04/21/25;USP1024TAN92;Colombia; 400,000,000.00 ; 105.92 ; 0.30 ; 0.30 ; 0.16 ;;;;;
11/08/2020;BANORT 5 3/4 10/04/31;USP14008AC36;Mexico; 294,219,000.00 ; 101.01 ; 0.30 ; 0.21 ; 0.11 ;;;;;
11/08/2020;BANORT 6 7/8 PERP;USP14008AD19;Mexico; 350,000,000.00 ; 97.96 ; 0.30 ; 0.25 ; 0.13 ;;;;;
11/08/2020;BANORT 7 5/8 PERP;USP14008AE91;Mexico; 550,000,000.00 ; 97.78 ; 0.30 ; 0.39 ; 0.21 ;;;;;
11/08/2020;BBVASM 5.35 11/12/29;USP16259AL02;Mexico; 200,000,000.00 ; 98.71 ; 0.30 ; 0.14 ; 0.08 ;;;;;
11/08/2020;BBVASM 6 3/4 09/30/22;USP16259AH99;Mexico; 1,500,000,000.00 ; 109.14 ; 0.30 ; 1.18 ; 0.63 ;;;;;
11/08/2020;BCGBK 6 3/4 03/15/23;USP31925AD54;Chile; 500,000,000.00 ; 34.19 ; 0.30 ; 0.12 ; 0.07 ;;;;;
11/08/2020;BCOCPE 5 1/4 09/22/29;USP16236AG98;Peru; 300,000,000.00 ; 109.44 ; 0.30 ; 0.24 ; 0.13 ;;;;;
11/08/2020;BCOLO 4 7/8 10/18/27;US05968LAK89;Colombia; 750,000,000.00 ; 98.93 ; 0.30 ; 0.53 ; 0.29 ;;;;;
11/08/2020;BCOLO 5 1/8 09/11/22;US05968LAH50;Colombia; 694,273,000.00 ; 105.25 ; 0.30 ; 0.53 ; 0.28 ;;;;;
11/08/2020;BCP 6 1/8 04/24/27;USP09646AE32;Peru; 294,700,000.00 ; 105.35 ; 0.30 ; 0.22 ; 0.12 ;;;;;
11/08/2020;BCP 6 7/8 09/16/26;USP09646AD58;Peru; 181,505,000.00 ; 105.82 ; 0.30 ; 0.14 ; 0.07 ;;;;;
11/08/2020;BFALA 3 3/4 04/30/23;USP82290AA81;Chile; 500,000,000.00 ; 103.84 ; 0.30 ; 0.37 ; 0.20 ;;;;;
11/08/2020;BFALA 3 3/4 10/30/27;USP82290AR17;Chile; 400,000,000.00 ; 104.61 ; 0.30 ; 0.30 ; 0.16 ;;;;;
11/08/2020;BFALA 4 3/8 01/27/25;USP82290AG51;Chile; 400,000,000.00 ; 107.16 ; 0.30 ; 0.31 ; 0.17 ;;;;;
11/08/2020;BIMBOA 3 7/8 06/27/24;USP4949BAJ37;Mexico; 800,000,000.00 ; 108.77 ; 0.30 ; 0.63 ; 0.34 ;;;;;
11/08/2020;BIMBOA 4 1/2 01/25/22;USP4949BAH70;Mexico; 800,000,000.00 ; 105.08 ; 0.30 ; 0.60 ; 0.32 ;;;;;
11/08/2020;BIMBOA 4 7/8 06/27/44;USP4949BAK00;Mexico; 500,000,000.00 ; 119.77 ; 0.30 ; 0.43 ; 0.23 ;;;;;
11/08/2020;BIMBOA 4.7 11/10/47;USP4R52QAC92;Mexico; 650,000,000.00 ; 117.75 ; 0.30 ; 0.55 ; 0.29 ;;;;;
11/08/2020;BINBUR 4 1/8 06/06/24;USP13296AL53;Mexico; 1,000,000,000.00 ; 104.14 ; 0.30 ; 0.75 ; 0.40 ;;;;;
11/08/2020;BINBUR 4 3/8 04/11/27;USP13296AM37;Mexico; 750,000,000.00 ; 104.17 ; 0.30 ; 0.56 ; 0.30 ;;;;;
11/08/2020;BINTPE 6 5/8 03/19/29;USP13435AA33;Peru; 300,000,000.00 ; 110.07 ; 0.30 ; 0.24 ; 0.13 ;;;;;
11/08/2020;CELARA 3 7/8 11/02/27;US151191BB89;Chile; 469,890,000.00 ; 106.36 ; 0.30 ; 0.36 ; 0.19 ;;;;;
11/08/2020;CELARA 4 1/2 08/01/24;US151191AZ66;Chile; 500,000,000.00 ; 109.05 ; 0.30 ; 0.39 ; 0.21 ;;;;;
11/08/2020;CELARA 4 3/4 01/11/22;US151191AW36;Chile; 124,599,000.00 ; 104.10 ; 0.30 ; 0.09 ; 0.05 ;;;;;
11/08/2020;CELARA 5 1/2 11/02/47;US151191BD46;Chile; 378,325,000.00 ; 109.67 ; 0.30 ; 0.30 ; 0.16 ;;;;;
11/08/2020;CELEO 5.2 06/22/47;USP22008AA72;Chile; 368,903,300.00 ; 111.67 ; 0.30 ; 0.30 ; 0.16 ;;;;;
11/08/2020;CEMEX 7.7 07/21/25;USU7665RAA69;Mexico; 149,897,000.00 ; 107.50 ; 0.30 ; 0.12 ; 0.06 ;;;;;
11/08/2020;CENSUD 4 3/8 07/17/27;USP2205JAQ33;Chile; 974,789,000.00 ; 104.63 ; 0.30 ; 0.73 ; 0.39 ;;;;;
11/08/2020;CENSUD 5.15 02/12/25;USP2205JAK62;Chile; 524,346,000.00 ; 108.40 ; 0.30 ; 0.41 ; 0.22 ;;;;;
11/08/2020;CENSUD 6 5/8 02/12/45;USP2205JAL46;Chile; 350,000,000.00 ; 115.03 ; 0.30 ; 0.29 ; 0.16 ;;;;;
11/08/2020;CFELEC 4 3/4 02/23/27;USP29595AB42;Mexico; 1,000,000,000.00 ; 106.83 ; 0.30 ; 0.77 ; 0.41 ;;;;;
11/08/2020;CFELEC 4 7/8 01/15/24;USP30179AM09;Mexico; 1,250,000,000.00 ; 106.65 ; 0.30 ; 0.96 ; 0.51 ;;;;;
11/08/2020;CFELEC 5 3/4 02/14/42;USP30179AK43;Mexico; 750,000,000.00 ; 110.51 ; 0.30 ; 0.60 ; 0.32 ;;;;;
11/08/2020;CFELEC 6 1/8 06/16/45;USP30179AR95;Mexico; 700,000,000.00 ; 117.56 ; 0.30 ; 0.59 ; 0.32 ;;;;;
11/08/2020;CMPCCI 4 1/2 04/25/22;USP58073AA84;Chile; 500,000,000.00 ; 104.36 ; 0.30 ; 0.38 ; 0.20 ;;;;;
11/08/2020;CMPCCI 4 3/4 09/15/24;USP58072AK83;Chile; 500,000,000.00 ; 109.37 ; 0.30 ; 0.39 ; 0.21 ;;;;;
11/08/2020;CMPCCI 4 3/8 04/04/27;USP58072AL66;Chile; 500,000,000.00 ; 110.39 ; 0.30 ; 0.40 ; 0.21 ;;;;;
11/08/2020;CMPCCI 4 3/8 05/15/23;USP58072AG71;Chile; 500,000,000.00 ; 106.07 ; 0.30 ; 0.38 ; 0.20 ;;;;;
11/08/2020;COFIDE 5 1/4 07/15/29;USP3R94GAA71;Peru; 300,000,000.00 ; 106.61 ; 0.30 ; 0.23 ; 0.12 ;;;;;
11/08/2020;CPACPE 4 1/2 02/08/23;USP2194PAA77;Peru; 131,612,000.00 ; 101.19 ; 0.30 ; 0.10 ; 0.05 ;;;;;
11/08/2020;CREAL 7 1/4 07/20/23;USP32457AA44;Mexico; 426,903,000.00 ; 94.44 ; 0.30 ; 0.29 ; 0.16 ;;;;;
11/08/2020;CREAL 9 1/8 PERP;USP32457AB27;Mexico; 230,000,000.00 ; 81.52 ; 0.30 ; 0.13 ; 0.07 ;;;;;
11/08/2020;CREDVA 9 3/4 07/27/22;USP32086AL73;Colombia; 170,315,000.00 ; 80.44 ; 0.30 ; 0.10 ; 0.05 ;;;;;
11/08/2020;DAVIVI 5 7/8 07/09/22;USP0918ZAX44;Colombia; 500,000,000.00 ; 106.12 ; 0.30 ; 0.38 ; 0.20 ;;;;;
11/08/2020;ECOPET 4 1/8 01/16/25;US279158AK55;Colombia; 1,200,000,000.00 ; 106.65 ; 0.30 ; 0.92 ; 0.49 ;;;;;
11/08/2020;ECOPET 5 3/8 06/26/26;US279158AL39;Colombia; 1,500,000,000.00 ; 112.56 ; 0.30 ; 1.21 ; 0.65 ;;;;;
11/08/2020;ECOPET 5 7/8 05/28/45;US279158AJ82;Colombia; 2,000,000,000.00 ; 118.15 ; 0.30 ; 1.70 ; 0.91 ;;;;;
11/08/2020;ECOPET 5 7/8 09/18/23;US279158AC30;Colombia; 1,800,000,000.00 ; 111.43 ; 0.30 ; 1.44 ; 0.77 ;;;;;
11/08/2020;ECOPET 7 3/8 09/18/43;US279158AE95;Colombia; 850,000,000.00 ; 133.50 ; 0.30 ; 0.82 ; 0.44 ;;;;;
11/08/2020;ELMTIA 5 1/2 01/15/25;USP3713LAA63;Mexico; 425,000,000.00 ; 91.15 ; 0.30 ; 0.28 ; 0.15 ;;;;;
