,Refdate,Product,ISIN,Country,Outstanding,Cpn,Px_Mid,Yield,Z_Spread,Country_Weight
48164,2020-08-12,ENTEL 4 3/4 08/01/26,USP37115AF26,Chile,800000000.0,4.75,110.14299774169922,2.6977438926696777,227.7979736328125,0.3
48165,2020-08-12,ENTEL 4 7/8 10/30/24,USP37115AE50,Chile,1000000000.0,4.875,107.86799621582031,2.250364303588867,173.93844604492188,0.3
48166,2020-08-12,FENIPE 4.317 09/20/27,USP40070AB35,Peru,314000000.0,4.316999912261963,100.1875,4.273661136627197,394.2381896972656,0.3
48167,2020-08-12,FIBRBZ 5 1/2 01/17/27,US31572UAF30,Brazil,700000000.0,5.5,111.02349853515625,3.564512014389038,313.0625,0.7
48168,2020-08-12,FIBRBZ 5 1/4 05/12/24,US31572UAE64,Brazil,600000000.0,5.25,109.24700164794922,2.6389944553375244,236.046630859375,0.7
48169,2020-08-12,FIBRBZ 4 01/14/25,US31572UAG13,Brazil,600000000.0,4.0,105.46700286865234,2.6321170330047607,232.89871215820312,0.7
48170,2020-08-12,FUNOTR 5 1/4 01/30/26,USP9406GAC26,Mexico,500000000.0,5.25,105.4990005493164,4.069012641906738,371.35150146484375,0.3
48171,2020-08-12,FUNOTR 5 1/4 12/15/24,USP9406GAA69,Mexico,600000000.0,5.25,107.32150268554688,3.319007396697998,302.6429443359375,0.3
48172,2020-08-12,FUNOTR 6.95 01/30/44,USP9406GAB43,Mexico,700000000.0,6.949999809265137,108.6500015258789,6.236034393310547,539.67431640625,0.3
48173,2020-08-12,FUNOTR 6.39 01/15/50,USP9401CAB83,Mexico,600000000.0,6.389999866485596,102.16699981689453,6.2269744873046875,536.1724243164062,0.3
48174,2020-08-12,FUNOTR 4.869 01/15/30,USP9401CAA01,Mexico,400000000.0,4.86899995803833,100.85250091552734,4.753789901733398,415.60809326171875,0.3
48175,2020-08-12,GGBRBZ 4 3/4 04/15/23,USG3925DAB67,Brazil,517968000.0,4.75,105.50849914550781,2.5991368293762207,235.2440643310547,0.7
48176,2020-08-12,GGBRBZ 4 7/8 10/24/27,USG3925DAD24,Brazil,650000000.0,4.875,108.51200103759766,3.524392604827881,303.9892272949219,0.7
48177,2020-08-12,MEXCAT 5 1/2 10/31/46,USP6629MAB83,Mexico,700000000.0,5.5,91.14600372314453,6.186018943786621,532.0731811523438,0.3
48178,2020-08-12,MIICF 5 1/8 01/15/28,USL6388GAB60,Chile,500000000.0,5.125,105.5009994506836,3.5607364177703857,332.21978759765625,0.3
48179,2020-08-12,MILPOC 4 5/8 03/28/23,USP67848AA22,Peru,128470000.0,4.625,101.84500122070312,3.876577854156494,363.0558776855469,0.3
48180,2020-08-12,MINASG 5.333 02/15/28,USG13201AA91,Brazil,1016000000.0,5.333000183105469,103.78450012207031,4.267867565155029,367.9248962402344,0.7
48181,2020-08-12,MINSUR 6 1/4 02/07/24,USP6811TAA36,Peru,450000000.0,6.25,109.71949768066406,3.2722442150115967,300.3327941894531,0.3
48182,2020-08-12,MRFGBZ 7 05/14/26,USU63768AA01,Brazil,1000000000.0,7.0,108.24749755859375,4.0174102783203125,378.0233154296875,0.7
48183,2020-08-12,MXCHF 4 10/04/27,USP57908AG32,Mexico,500000000.0,4.0,106.74449920654297,2.912308931350708,244.34848022460938,0.3
48184,2020-08-12,MXCHF 4 7/8 09/19/22,USP57908AD01,Mexico,750000000.0,4.875,105.5469970703125,2.1546406745910645,191.5930633544922,0.3
48185,2020-08-12,MXCHF 5 1/2 01/15/48,USP57908AH15,Mexico,500000000.0,5.5,112.18450164794922,4.697459697723389,381.1126403808594,0.3
48186,2020-08-12,MXCHF 5 7/8 09/17/44,USP57908AF58,Mexico,750000000.0,5.875,117.23600006103516,4.674760818481445,380.26275634765625,0.3
48187,2020-08-12,MXCHF 6 3/4 09/19/42,USP57908AE83,Mexico,400000000.0,6.75,126.65499877929688,4.782539367675781,393.0362243652344,0.3
48188,2020-08-12,NEXA 5 3/8 05/04/27,USP98118AA38,Peru,700000000.0,5.375,105.27899932861328,4.427672863006592,399.08953857421875,0.3
48189,2020-08-12,NEXA 6 1/2 01/18/28,USL67359AA48,Peru,500000000.0,6.5,110.83550262451172,4.70233154296875,422.65875244140625,0.3
48190,2020-08-12,SUZANO 6 01/15/29,US86964WAF95,Brazil,1748160000.0,6.0,114.27749633789062,3.939181089401245,340.2015686035156,0.7
48191,2020-08-12,SUZANO 5 01/15/30,US86964WAH51,Brazil,999904000.0,5.0,108.51399993896484,3.8874106407165527,329.15277099609375,0.7
