,Refdate,Product,ISIN,Country,Outstanding,Cpn,Px_Mid,Yield,Z_Spread,Country_Weight
38698,2020-08-11,MINASG 5.333 02/15/28,USG13201AA91,Brazil,1016000000.0,5.333000183105469,103.74600219726562,4.279168128967285,370.60595703125,0.8
38705,2020-08-11,SUZANO 7 03/16/47,USA8372TAC20,Brazil,1250000000.0,7.0,120.54850006103516,5.506110668182373,467.7615051269531,0.8
38706,2020-08-11,SUZANO 6 01/15/29,US86964WAF95,Brazil,1748160000.0,6.0,114.41300201416016,3.9217729568481445,341.33380126953125,0.8
38707,2020-08-11,SUZANO 5 01/15/30,US86964WAH51,Brazil,999904000.0,5.0,108.75,3.858355760574341,329.22259521484375,0.8
38708,2020-08-11,SUZANO 6 01/15/29,USA8372TAF50,Brazil,1840000.0,6.0,111.18150329589844,4.359060764312744,385.1230773925781,0.8
38709,2020-08-11,SUZANO 5 01/15/30,USA8372TAK46,Brazil,96000.0,5.0,102.18049621582031,4.704617977142334,413.98748779296875,0.8
38719,2020-08-11,FIBRBZ 5 1/2 01/17/27,US31572UAF30,Brazil,700000000.0,5.5,111.07649993896484,3.556488275527954,314.6513366699219,0.8
38720,2020-08-11,FIBRBZ 5 1/4 05/12/24,US31572UAE64,Brazil,600000000.0,5.25,109.28250122070312,2.631113052368164,236.59230041503906,0.8
38721,2020-08-11,FIBRBZ 4 01/14/25,US31572UAG13,Brazil,600000000.0,4.0,105.54750061035156,2.6133172512054443,232.55349731445312,0.8
38730,2020-08-11,GGBRBZ 4 7/8 10/24/27,USG3925DAD24,Brazil,650000000.0,4.875,108.5009994506836,3.5264875888824463,306.8011169433594,0.8
38734,2020-08-11,GGBRBZ 5.893 04/29/24,USG24422AA83,Brazil,626403008.0,5.89300012588501,110.5875015258789,2.669891834259033,241.4730224609375,0.8
38735,2020-08-11,GGBRBZ 7 1/4 04/16/44,USG2440JAG07,Brazil,500000000.0,7.25,133.15249633789062,4.851351737976074,403.04864501953125,0.8
38736,2020-08-11,GGBRBZ 4 1/4 01/21/30,USU4034GAA14,Brazil,500000000.0,4.25,105.34850311279297,3.546247720718384,298.6436767578125,0.8
38748,2020-08-11,VALEBZ 3 3/4 07/08/30,US91911TAQ67,Brazil,1500000000.0,3.75,107.62699890136719,2.841064214706421,224.29005432128906,0.8
38749,2020-08-11,VOTORA 4 3/4 06/17/24,USP3059UAA80,Brazil,143919008.0,4.75,104.45950317382812,3.4990475177764893,322.9950256347656,0.8
38750,2020-08-11,VOTORA 5 3/4 01/28/27,USC86068AA80,Brazil,500000000.0,5.75,112.17350006103516,3.5484633445739746,315.30633544921875,0.8
38751,2020-08-11,VOTORA 7 1/4 04/05/41,USP98088AA83,Brazil,610219008.0,7.25,124.8635025024414,5.260495185852051,445.9153747558594,0.8
38759,2020-08-11,USIM 5 7/8 07/18/26,USL95806AA06,Brazil,750000000.0,5.875,102.02799987792969,5.399919033050537,508.0865173339844,0.8
38760,2020-08-11,VALEBZ 5 5/8 09/11/42,US91912EAA38,Brazil,520404992.0,5.625,124.74800109863281,3.9366605281829834,310.03350830078125,0.8
38761,2020-08-11,VALEBZ 6 1/4 08/10/26,US91911TAP84,Brazil,1705705984.0,6.25,120.2665023803711,2.57776141166687,219.62704467773438,0.8
38762,2020-08-11,VALEBZ 6 7/8 11/10/39,US91911TAK97,Brazil,1331222016.0,6.875,139.8354949951172,3.9094319343566895,310.7369689941406,0.8
38763,2020-08-11,VALEBZ 6 7/8 11/21/36,US91911TAH68,Brazil,1618987008.0,6.875,138.5594940185547,3.6991512775421143,293.927734375,0.8
38764,2020-08-11,VALEBZ 7.2 09/15/32,US453258AP01,Brazil,296673984.0,7.199999809265137,131.11199951171875,3.939730405807495,327.5046081542969,0.8
38765,2020-08-11,VALEBZ 8 1/4 01/17/34,US91911TAE38,Brazil,733822016.0,8.25,146.87899780273438,3.768692970275879,307.6759338378906,0.8
38766,2020-08-11,BRFSBZ 4 7/8 01/24/30,USP1905CJX94,Brazil,750000000.0,4.875,104.42350006103516,4.288227558135986,372.0794372558594,0.8
38772,2020-08-11,BANBRA 4 5/8 01/15/25,USP3772WAH53,Brazil,1000000000.0,4.625,106.7925033569336,2.973991870880127,267.7834777832031,0.8
38773,2020-08-11,BANBRA 6 1/4 PERP,USG07402DP58,Brazil,1950000000.0,6.25,97.36699676513672,7.0728230476379395,681.046142578125,0.8
38779,2020-08-11,UGPABZ 5 1/4 10/06/26,USL9412AAA53,Brazil,550003008.0,5.25,106.19850158691406,4.097962856292725,370.504638671875,0.8
38780,2020-08-11,UGPABZ 5 1/4 06/06/29,USL9412AAB37,Brazil,500000000.0,5.25,102.885498046875,4.842803001403809,429.7449035644531,0.8
38781,2020-08-11,BRFSBZ 4 3/4 05/22/24,USP1905CAE05,Brazil,453713984.0,4.75,104.84750366210938,3.3701653480529785,310.3897399902344,0.8
38782,2020-08-11,BRFSBZ 4.35 09/29/26,USA08163AA41,Brazil,500000000.0,4.349999904632568,103.53150177001953,3.6998119354248047,330.558837890625,0.8
38786,2020-08-11,HIDRVS 5.95 01/24/25,USL48008AA19,Brazil,600000000.0,5.949999809265137,102.90249633789062,5.021276473999023,476.6632995605469,0.8
38800,2020-08-11,RAILBZ 5 1/4 01/10/28,USL79090AC78,Brazil,500000000.0,5.25,107.2239990234375,3.7029476165771484,344.9206237792969,0.8
38802,2020-08-11,BRASKM 4 1/2 01/10/28,USN15516AB83,Brazil,1250000000.0,4.5,97.85350036621094,4.847601890563965,437.6044616699219,0.8
38803,2020-08-11,BRASKM 6.45 02/03/24,US10553YAF25,Brazil,750000000.0,6.449999809265137,108.68199920654297,3.758979558944702,350.31512451171875,0.8
38804,2020-08-11,BRASKM 7 1/8 07/22/41,USU1065PAA94,Brazil,750000000.0,7.125,107.1510009765625,6.487949848175049,569.928955078125,0.8
38805,2020-08-11,BRASKM 7 3/8 PERP,USG1315RAC54,Brazil,500000000.0,7.375,99.47550201416016,7.413539409637451,661.2354736328125,0.8
38806,2020-08-11,BRASKM 5 7/8 01/31/50,USN15516AE23,Brazil,750000000.0,5.875,93.09349822998047,6.398534297943115,556.525390625,0.8
38807,2020-08-11,BRASKM 4 1/2 01/31/30,USN15516AD40,Brazil,1500000000.0,4.5,96.75650024414062,4.932745456695557,435.1260986328125,0.8
38814,2020-08-11,BNDES 4 3/4 05/09/24,USP14486AM92,Brazil,496797984.0,4.75,108.10900115966797,2.4653289318084717,220.00892639160156,0.8
38819,2020-08-11,RAIZBZ 5.3 01/20/27,USL7909CAA55,Brazil,500000000.0,5.300000190734863,108.82450103759766,3.743793487548828,333.2837829589844,0.8
