,PX_LAST,Refdate,Ticker
0,2.406,2018-01-01,GT10 Govt
1,2.464,2018-01-02,GT10 Govt
2,2.448,2018-01-03,GT10 Govt
3,2.453,2018-01-04,GT10 Govt
4,2.477,2018-01-05,GT10 Govt
5,2.481,2018-01-08,GT10 Govt
6,2.5540000000000003,2018-01-09,GT10 Govt
7,2.558,2018-01-10,GT10 Govt
8,2.5380000000000003,2018-01-11,GT10 Govt
9,2.548,2018-01-12,GT10 Govt
10,2.548,2018-01-15,GT10 Govt
11,2.5380000000000003,2018-01-16,GT10 Govt
12,2.591,2018-01-17,GT10 Govt
13,2.627,2018-01-18,GT10 Govt
14,2.66,2018-01-19,GT10 Govt
15,2.651,2018-01-22,GT10 Govt
16,2.614,2018-01-23,GT10 Govt
17,2.6470000000000002,2018-01-24,GT10 Govt
18,2.618,2018-01-25,GT10 Govt
19,2.661,2018-01-26,GT10 Govt
20,2.6950000000000003,2018-01-29,GT10 Govt
21,2.721,2018-01-30,GT10 Govt
22,2.706,2018-01-31,GT10 Govt
23,2.791,2018-02-01,GT10 Govt
24,2.842,2018-02-02,GT10 Govt
25,2.707,2018-02-05,GT10 Govt
26,2.803,2018-02-06,GT10 Govt
27,2.8369999999999997,2018-02-07,GT10 Govt
28,2.825,2018-02-08,GT10 Govt
29,2.852,2018-02-09,GT10 Govt
30,2.859,2018-02-12,GT10 Govt
31,2.83,2018-02-13,GT10 Govt
32,2.903,2018-02-14,GT10 Govt
33,2.91,2018-02-15,GT10 Govt
34,2.876,2018-02-16,GT10 Govt
35,2.876,2018-02-19,GT10 Govt
36,2.89,2018-02-20,GT10 Govt
37,2.951,2018-02-21,GT10 Govt
38,2.922,2018-02-22,GT10 Govt
39,2.868,2018-02-23,GT10 Govt
40,2.863,2018-02-26,GT10 Govt
41,2.894,2018-02-27,GT10 Govt
42,2.862,2018-02-28,GT10 Govt
43,2.809,2018-03-01,GT10 Govt
44,2.865,2018-03-02,GT10 Govt
45,2.882,2018-03-05,GT10 Govt
46,2.887,2018-03-06,GT10 Govt
47,2.884,2018-03-07,GT10 Govt
48,2.858,2018-03-08,GT10 Govt
49,2.895,2018-03-09,GT10 Govt
50,2.8689999999999998,2018-03-12,GT10 Govt
51,2.843,2018-03-13,GT10 Govt
52,2.818,2018-03-14,GT10 Govt
53,2.829,2018-03-15,GT10 Govt
54,2.8449999999999998,2018-03-16,GT10 Govt
55,2.856,2018-03-19,GT10 Govt
56,2.8970000000000002,2018-03-20,GT10 Govt
57,2.884,2018-03-21,GT10 Govt
58,2.825,2018-03-22,GT10 Govt
59,2.814,2018-03-23,GT10 Govt
60,2.8529999999999998,2018-03-26,GT10 Govt
61,2.776,2018-03-27,GT10 Govt
62,2.782,2018-03-28,GT10 Govt
63,2.74,2018-03-29,GT10 Govt
64,2.74,2018-03-30,GT10 Govt
65,2.731,2018-04-02,GT10 Govt
66,2.776,2018-04-03,GT10 Govt
67,2.8040000000000003,2018-04-04,GT10 Govt
68,2.833,2018-04-05,GT10 Govt
69,2.774,2018-04-06,GT10 Govt
70,2.7800000000000002,2018-04-09,GT10 Govt
71,2.802,2018-04-10,GT10 Govt
72,2.782,2018-04-11,GT10 Govt
73,2.8369999999999997,2018-04-12,GT10 Govt
74,2.8280000000000003,2018-04-13,GT10 Govt
75,2.8280000000000003,2018-04-16,GT10 Govt
76,2.829,2018-04-17,GT10 Govt
77,2.874,2018-04-18,GT10 Govt
78,2.911,2018-04-19,GT10 Govt
79,2.961,2018-04-20,GT10 Govt
80,2.976,2018-04-23,GT10 Govt
81,3.0,2018-04-24,GT10 Govt
82,3.027,2018-04-25,GT10 Govt
83,2.982,2018-04-26,GT10 Govt
84,2.958,2018-04-27,GT10 Govt
85,2.954,2018-04-30,GT10 Govt
86,2.965,2018-05-01,GT10 Govt
87,2.967,2018-05-02,GT10 Govt
88,2.947,2018-05-03,GT10 Govt
89,2.951,2018-05-04,GT10 Govt
90,2.951,2018-05-07,GT10 Govt
91,2.977,2018-05-08,GT10 Govt
92,3.005,2018-05-09,GT10 Govt
93,2.963,2018-05-10,GT10 Govt
94,2.971,2018-05-11,GT10 Govt
95,3.003,2018-05-14,GT10 Govt
96,3.073,2018-05-15,GT10 Govt
97,3.097,2018-05-16,GT10 Govt
98,3.112,2018-05-17,GT10 Govt
99,3.057,2018-05-18,GT10 Govt
100,3.061,2018-05-21,GT10 Govt
101,3.061,2018-05-22,GT10 Govt
102,2.9939999999999998,2018-05-23,GT10 Govt
103,2.9779999999999998,2018-05-24,GT10 Govt
104,2.932,2018-05-25,GT10 Govt
105,2.932,2018-05-28,GT10 Govt
106,2.782,2018-05-29,GT10 Govt
107,2.856,2018-05-30,GT10 Govt
108,2.859,2018-05-31,GT10 Govt
109,2.903,2018-06-01,GT10 Govt
110,2.943,2018-06-04,GT10 Govt
111,2.9290000000000003,2018-06-05,GT10 Govt
112,2.973,2018-06-06,GT10 Govt
113,2.9210000000000003,2018-06-07,GT10 Govt
114,2.947,2018-06-08,GT10 Govt
115,2.9530000000000003,2018-06-11,GT10 Govt
116,2.9619999999999997,2018-06-12,GT10 Govt
117,2.967,2018-06-13,GT10 Govt
118,2.936,2018-06-14,GT10 Govt
119,2.9210000000000003,2018-06-15,GT10 Govt
120,2.918,2018-06-18,GT10 Govt
