Refdate;Italy;Brazil;;;;;;;;;
08/08/2019;285.4061453;330.5748091;;;;;;;;;
09/08/2019;304.6048154;334.6231959;;;;;;;;;
12/08/2019;306.723943;333.4251667;;;;;;;;;
13/08/2019;310.1153942;335.3542734;;;;;;;;;
14/08/2019;311.654269;341.1158111;;;;;;;;;
15/08/2019;323.1253213;345.1400029;;;;;;;;;
16/08/2019;313.5825504;345.1090729;;;;;;;;;
19/08/2019;300.6755356;339.7876504;;;;;;;;;
20/08/2019;296.7815209;343.8601319;;;;;;;;;
21/08/2019;282.7540819;340.2121157;;;;;;;;;
23/08/2019;270.5737878;342.0154279;;;;;;;;;
26/08/2019;271.805409;343.630488;;;;;;;;;
27/08/2019;268.465954;345.2488713;;;;;;;;;
28/08/2019;263.0285059;345.523945;;;;;;;;;
29/08/2019;251.6353028;344.6540155;;;;;;;;;
30/08/2019;254.1226438;340.9092457;;;;;;;;;
02/09/2019;253.169197;340.5648092;;;;;;;;;
03/09/2019;253.6506947;343.2145255;;;;;;;;;
04/09/2019;245.2971692;337.4658679;;;;;;;;;
05/09/2019;239.8031806;328.5266552;;;;;;;;;
06/09/2019;239.4960472;331.0961246;;;;;;;;;
09/09/2019;240.4365766;333.2062554;;;;;;;;;
10/09/2019;243.6808559;329.1231027;;;;;;;;;
11/09/2019;245.5331268;329.7389187;;;;;;;;;
12/09/2019;230.9103634;331.6595685;;;;;;;;;
13/09/2019;225.1731103;326.898422;;;;;;;;;
16/09/2019;226.8844185;331.6115077;;;;;;;;;
17/09/2019;233.4197931;334.7938521;;;;;;;;;
18/09/2019;237.741196;339.2011265;;;;;;;;;
19/09/2019;235.2713543;337.1423393;;;;;;;;;
20/09/2019;231.3537299;336.7782018;;;;;;;;;
23/09/2019;235.3964507;336.1659686;;;;;;;;;
24/09/2019;236.6764976;338.1657103;;;;;;;;;
25/09/2019;240.983058;334.0098872;;;;;;;;;
26/09/2019;240.7496337;335.4451635;;;;;;;;;
27/09/2019;241.4898807;335.7591284;;;;;;;;;
30/09/2019;240.7637022;337.7820213;;;;;;;;;
01/10/2019;236.9569558;341.2580201;;;;;;;;;
02/10/2019;240.6509062;342.3885937;;;;;;;;;
03/10/2019;245.0826522;343.1889663;;;;;;;;;
04/10/2019;247.6587287;340.2362865;;;;;;;;;
07/10/2019;248.5053038;340.527938;;;;;;;;;
08/10/2019;250.1066983;343.4796912;;;;;;;;;
09/10/2019;247.4929085;338.0566651;;;;;;;;;
10/10/2019;242.6266837;332.5698248;;;;;;;;;
11/10/2019;231.0472236;329.5039473;;;;;;;;;
14/10/2019;230.1966699;329.5232016;;;;;;;;;
15/10/2019;222.7134198;330.5738414;;;;;;;;;
16/10/2019;219.2604186;326.4183778;;;;;;;;;
17/10/2019;216.570603;323.2550995;;;;;;;;;
18/10/2019;214.5208272;321.9002939;;;;;;;;;
21/10/2019;211.8230996;324.353928;;;;;;;;;
22/10/2019;210.6517547;321.9752741;;;;;;;;;
23/10/2019;211.5659803;320.7177665;;;;;;;;;
24/10/2019;207.2652902;319.3376858;;;;;;;;;
25/10/2019;203.4067514;320.6379838;;;;;;;;;
28/10/2019;204.2774805;318.2627123;;;;;;;;;
29/10/2019;208.8567813;317.7776517;;;;;;;;;
30/10/2019;211.5229087;317.7505039;;;;;;;;;
31/10/2019;211.1385461;324.7311236;;;;;;;;;
01/11/2019;209.482724;325.9562396;;;;;;;;;
04/11/2019;205.4319555;320.7650752;;;;;;;;;
05/11/2019;204.0598094;321.233211;;;;;;;;;
06/11/2019;204.6613302;320.6518027;;;;;;;;;
07/11/2019;202.2538715;317.9213676;;;;;;;;;
08/11/2019;206.0988596;315.9944986;;;;;;;;;
11/11/2019;211.4338579;315.6558713;;;;;;;;;
12/11/2019;214.4817977;319.5191731;;;;;;;;;
13/11/2019;221.9161694;319.9837815;;;;;;;;;
14/11/2019;227.4095402;318.9591166;;;;;;;;;
15/11/2019;228.9071904;#N/D;;;;;;;;;
18/11/2019;227.4391266;322.9916199;;;;;;;;;
19/11/2019;226.3192156;330.2565962;;;;;;;;;
20/11/2019;231.983382;325.386967;;;;;;;;;
21/11/2019;231.8104019;324.9742979;;;;;;;;;
22/11/2019;230.5413385;328.7854203;;;;;;;;;
25/11/2019;227.0712291;321.9660697;;;;;;;;;
26/11/2019;223.4010933;321.8554434;;;;;;;;;
27/11/2019;219.4922056;323.6357026;;;;;;;;;
28/11/2019;220.4094388;323.6117889;;;;;;;;;
29/11/2019;218.1641974;327.6839705;;;;;;;;;
02/12/2019;216.9603594;319.8173363;;;;;;;;;
03/12/2019;220.6962668;323.9361613;;;;;;;;;
04/12/2019;218.4611629;321.0642881;;;;;;;;;
05/12/2019;214.1241163;324.9111902;;;;;;;;;
06/12/2019;211.1230021;322.6132276;;;;;;;;;
09/12/2019;208.1226309;315.9234784;;;;;;;;;
10/12/2019;205.9891216;314.4548601;;;;;;;;;
11/12/2019;206.4891003;314.5801634;;;;;;;;;
12/12/2019;203.6377396;305.1832205;;;;;;;;;
13/12/2019;206.1680467;307.7802115;;;;;;;;;
16/12/2019;205.0382642;306.8187381;;;;;;;;;
17/12/2019;206.0441999;304.1739525;;;;;;;;;
18/12/2019;205.3152612;298.6394618;;;;;;;;;
19/12/2019;205.8224405;300.363385;;;;;;;;;
20/12/2019;205.6281965;299.0224889;;;;;;;;;
