,Index_Value,Index_Value,Index_Value,Index_Value,Index_Value,Index_Value,Index_Value,Index_Value
INDUSTRY_SECTOR,Communications,"Consumer, Cyclical","Consumer, Non-cyclical",Energy,Financial,Industrial,Technology,Utilities
Refdate,,,,,,,,
2020-01-02,0.5595,240.24149999999997,208.55,18.389,193.605,85.13499999999999,24.76,25.037
2020-01-03,0.5577,238.6555,208.77999999999997,18.525,190.57349999999994,84.16599999999998,24.59,24.9985
2020-01-06,0.5526,236.74149999999997,206.64999999999998,18.745,188.533,84.138,24.03,24.855999999999998
2020-01-07,0.5476,237.97900000000004,210.81,18.771,191.3695,84.849,24.64,24.954500000000003
2020-01-08,0.5317000000000001,242.06149999999997,212.08499999999998,18.701,192.6585,85.006,24.62,25.2125
2020-01-09,0.5263,243.73799999999997,214.515,18.537,196.45,85.17999999999999,25.21,25.333000000000002
2020-01-10,0.5247,246.20250000000004,211.925,18.549,196.614,84.99600000000001,24.71,25.6825
2020-01-13,0.5121,245.61,210.505,18.47,196.30499999999998,84.49,24.919999999999998,25.533500000000004
2020-01-14,0.515,246.83499999999998,210.255,18.274,197.021,84.18700000000003,25.089999999999996,25.597500000000004
2020-01-15,0.5059,246.14,212.13,18.195,196.60500000000002,83.372,24.59,25.737499999999997
2020-01-16,0.5099,245.03400000000002,207.89000000000001,18.296,196.9185,83.365,24.76,26.0
2020-01-17,0.5123,247.77350000000004,212.185,18.32,197.8085,85.22,25.15,26.434
2020-01-20,0.5114000000000001,246.507,209.65,18.314,197.2035,85.40700000000001,25.34,26.2395
2020-01-21,0.5066,243.2975,209.29500000000002,18.141,197.21799999999996,84.37299999999999,25.1,25.985500000000002
2020-01-22,0.4994,245.23200000000003,212.32,17.809,196.78199999999998,83.473,25.34,25.9385
2020-01-23,0.49420000000000003,241.92150000000004,210.57,17.616,196.7885,82.659,27.0,26.2635
2020-01-24,0.5043,243.67299999999997,212.23,17.57,197.2155,84.765,27.75,26.624999999999996
2020-01-27,0.49350000000000005,234.54999999999998,208.56,17.186,191.59600000000006,81.636,26.15,26.399500000000003
2020-01-28,0.5052,242.0,213.7,17.398,195.7135,83.317,27.06,27.265500000000003
2020-01-29,0.5169,242.7895,214.855,17.29,197.07200000000003,84.172,26.9,27.4985
2020-01-30,0.5054000000000001,239.044,209.38,16.806,190.95250000000001,81.898,26.45,27.429000000000002
2020-01-31,0.4868,235.74699999999999,206.20999999999998,16.406,184.78849999999997,80.662,25.28,26.7865
2020-02-03,0.482,238.0285,208.29000000000002,16.297,185.84199999999998,81.747,25.76,26.950000000000003
2020-02-04,0.4918,235.9285,212.525,16.526,190.297,84.15700000000001,26.67,27.1725
2020-02-05,0.4895000000000001,239.5185,212.47,16.916,193.09699999999998,85.58,27.39,27.465999999999998
2020-02-06,0.502,238.87850000000003,214.655,16.827,196.54349999999997,85.87100000000001,27.219999999999995,27.633999999999997
2020-02-07,0.4948,236.784,213.8,16.656,196.37399999999997,85.479,27.219999999999995,27.621500000000005
2020-02-10,0.49060000000000004,237.45150000000004,214.895,16.479,200.71000000000004,85.85900000000001,27.55,27.630499999999998
2020-02-11,0.4984,239.52399999999997,217.12,16.727,201.26850000000005,87.019,28.26,27.8645
2020-02-12,0.5065000000000001,244.8675,216.27,17.0,204.2945,88.44800000000001,28.58,27.627499999999994
2020-02-13,0.525,242.64350000000002,216.13,16.826,204.67399999999998,87.74099999999999,29.35,27.646
2020-02-14,0.5177,242.71500000000003,217.73999999999998,16.683,204.66049999999998,87.59299999999998,28.95,27.667
2020-02-17,0.5201,247.23899999999998,219.35,16.835,206.90800000000002,88.00799999999998,28.18,27.979999999999993
2020-02-18,0.5194,247.77199999999996,223.73500000000004,16.661,206.536,87.41399999999999,27.84,28.258000000000003
2020-02-19,0.5219,251.847,224.76999999999998,16.728,208.05550000000002,88.625,29.12,28.642000000000003
2020-02-20,0.5147,247.50400000000005,218.70999999999998,16.732,203.826,87.589,28.7,28.141
2020-02-21,0.5342,241.25400000000002,216.79,16.519,198.93550000000002,85.58499999999998,28.29,28.092499999999998
2020-02-24,0.513,227.37499999999997,205.48000000000002,15.635,186.56449999999998,80.381,26.29,26.7975
2020-02-25,0.5104000000000001,226.86649999999997,199.92000000000002,15.402999999999999,184.44400000000005,78.93900000000001,26.09,26.314
2020-02-26,0.5283,227.52350000000004,202.475,15.66,186.86399999999998,80.23,26.69,26.651
2020-02-27,0.527,220.18519999999998,199.25,15.222999999999999,179.9895,77.81599999999997,24.86,26.418
2020-02-28,0.5001,216.575,193.865,14.573,174.84400000000002,76.51499999999999,24.380000000000003,25.143500000000003
2020-03-02,0.4864,213.7518,191.945,14.426,169.8755,73.567,24.31,25.328500000000002
2020-03-03,0.4779000000000001,216.08980000000003,196.555,14.379999999999999,169.948,74.773,24.98,25.7425
2020-03-04,0.48090000000000005,215.03859999999995,195.375,14.328999999999999,168.1645,73.806,24.71,26.883
2020-03-05,0.45840000000000003,210.894,193.925,13.982,165.3355,72.721,24.43,26.6765
2020-03-06,0.43210000000000004,204.8188,191.91,13.067000000000002,160.4982,70.04,23.29,25.5055
2020-03-09,0.3907,188.4028,182.42499999999998,10.324,145.04450000000003,61.58099999999999,20.93,23.2045
2020-03-10,0.3672,188.14980000000003,180.46,10.389,138.32129999999998,60.126,21.1,22.0565
2020-03-11,0.3817000000000001,191.33939999999998,187.63,10.245000000000001,138.83020000000005,59.824999999999996,20.68,22.003
2020-03-12,0.31120000000000003,169.965,163.95999999999998,8.5425,119.6073,50.171,17.38,18.2365
