,Refdate,INDUSTRY_SECTOR,Index_Value,Country
0,2020-01-02,Communications,0.5595,Italy
1,2020-01-02,"Consumer, Cyclical",240.2415,Italy
2,2020-01-02,"Consumer, Non-cyclical",208.55,Italy
3,2020-01-02,Energy,18.389,Italy
4,2020-01-02,Financial,193.605,Italy
5,2020-01-02,Industrial,85.13499999999999,Italy
6,2020-01-02,Technology,24.76,Italy
7,2020-01-02,Utilities,25.037,Italy
8,2020-01-03,Communications,0.5577,Italy
9,2020-01-03,"Consumer, Cyclical",238.65550000000002,Italy
10,2020-01-03,"Consumer, Non-cyclical",208.77999999999997,Italy
11,2020-01-03,Energy,18.525,Italy
12,2020-01-03,Financial,190.57349999999994,Italy
13,2020-01-03,Industrial,84.166,Italy
14,2020-01-03,Technology,24.59,Italy
15,2020-01-03,Utilities,24.9985,Italy
16,2020-01-06,Communications,0.5526,Italy
17,2020-01-06,"Consumer, Cyclical",236.74149999999997,Italy
18,2020-01-06,"Consumer, Non-cyclical",206.64999999999998,Italy
19,2020-01-06,Energy,18.745,Italy
20,2020-01-06,Financial,188.533,Italy
21,2020-01-06,Industrial,84.138,Italy
22,2020-01-06,Technology,24.03,Italy
23,2020-01-06,Utilities,24.855999999999998,Italy
24,2020-01-07,Communications,0.5476,Italy
25,2020-01-07,"Consumer, Cyclical",237.97900000000007,Italy
26,2020-01-07,"Consumer, Non-cyclical",210.81,Italy
27,2020-01-07,Energy,18.771,Italy
28,2020-01-07,Financial,191.3695,Italy
29,2020-01-07,Industrial,84.849,Italy
30,2020-01-07,Technology,24.64,Italy
31,2020-01-07,Utilities,24.954500000000003,Italy
32,2020-01-08,Communications,0.5317000000000001,Italy
33,2020-01-08,"Consumer, Cyclical",242.0615,Italy
34,2020-01-08,"Consumer, Non-cyclical",212.08499999999998,Italy
35,2020-01-08,Energy,18.701,Italy
36,2020-01-08,Financial,192.6585,Italy
37,2020-01-08,Industrial,85.006,Italy
38,2020-01-08,Technology,24.62,Italy
39,2020-01-08,Utilities,25.2125,Italy
40,2020-01-09,Communications,0.5263,Italy
41,2020-01-09,"Consumer, Cyclical",243.73799999999997,Italy
42,2020-01-09,"Consumer, Non-cyclical",214.515,Italy
43,2020-01-09,Energy,18.537,Italy
44,2020-01-09,Financial,196.45,Italy
45,2020-01-09,Industrial,85.17999999999999,Italy
46,2020-01-09,Technology,25.21,Italy
47,2020-01-09,Utilities,25.333000000000002,Italy
48,2020-01-10,Communications,0.5247,Italy
49,2020-01-10,"Consumer, Cyclical",246.20250000000004,Italy
50,2020-01-10,"Consumer, Non-cyclical",211.925,Italy
51,2020-01-10,Energy,18.549,Italy
52,2020-01-10,Financial,196.614,Italy
53,2020-01-10,Industrial,84.996,Italy
54,2020-01-10,Technology,24.71,Italy
55,2020-01-10,Utilities,25.6825,Italy
56,2020-01-13,Communications,0.5121,Italy
57,2020-01-13,"Consumer, Cyclical",245.61,Italy
58,2020-01-13,"Consumer, Non-cyclical",210.505,Italy
59,2020-01-13,Energy,18.47,Italy
60,2020-01-13,Financial,196.30499999999998,Italy
61,2020-01-13,Industrial,84.49,Italy
62,2020-01-13,Technology,24.919999999999998,Italy
63,2020-01-13,Utilities,25.533500000000004,Italy
64,2020-01-14,Communications,0.515,Italy
65,2020-01-14,"Consumer, Cyclical",246.83499999999998,Italy
66,2020-01-14,"Consumer, Non-cyclical",210.255,Italy
67,2020-01-14,Energy,18.274,Italy
68,2020-01-14,Financial,197.021,Italy
69,2020-01-14,Industrial,84.18700000000001,Italy
70,2020-01-14,Technology,25.089999999999996,Italy
71,2020-01-14,Utilities,25.597500000000004,Italy
72,2020-01-15,Communications,0.5059,Italy
73,2020-01-15,"Consumer, Cyclical",246.14,Italy
74,2020-01-15,"Consumer, Non-cyclical",212.13,Italy
75,2020-01-15,Energy,18.195,Italy
76,2020-01-15,Financial,196.60500000000002,Italy
77,2020-01-15,Industrial,83.372,Italy
78,2020-01-15,Technology,24.59,Italy
79,2020-01-15,Utilities,25.737499999999997,Italy
80,2020-01-16,Communications,0.5099,Italy
81,2020-01-16,"Consumer, Cyclical",245.03400000000002,Italy
82,2020-01-16,"Consumer, Non-cyclical",207.89000000000001,Italy
83,2020-01-16,Energy,18.296,Italy
84,2020-01-16,Financial,196.9185,Italy
85,2020-01-16,Industrial,83.36499999999998,Italy
86,2020-01-16,Technology,24.76,Italy
87,2020-01-16,Utilities,26.0,Italy
88,2020-01-17,Communications,0.5123,Italy
89,2020-01-17,"Consumer, Cyclical",247.7735,Italy
90,2020-01-17,"Consumer, Non-cyclical",212.185,Italy
91,2020-01-17,Energy,18.32,Italy
92,2020-01-17,Financial,197.8085,Italy
93,2020-01-17,Industrial,85.22,Italy
94,2020-01-17,Technology,25.15,Italy
95,2020-01-17,Utilities,26.434,Italy
96,2020-01-20,Communications,0.5114000000000001,Italy
97,2020-01-20,"Consumer, Cyclical",246.507,Italy
98,2020-01-20,"Consumer, Non-cyclical",209.65,Italy
99,2020-01-20,Energy,18.314,Italy
100,2020-01-20,Financial,197.2035,Italy
101,2020-01-20,Industrial,85.40700000000001,Italy
102,2020-01-20,Technology,25.34,Italy
103,2020-01-20,Utilities,26.2395,Italy
104,2020-01-21,Communications,0.5066,Italy
105,2020-01-21,"Consumer, Cyclical",243.2975,Italy
106,2020-01-21,"Consumer, Non-cyclical",209.29500000000002,Italy
107,2020-01-21,Energy,18.141,Italy
108,2020-01-21,Financial,197.21799999999996,Italy
109,2020-01-21,Industrial,84.37299999999999,Italy
110,2020-01-21,Technology,25.1,Italy
111,2020-01-21,Utilities,25.985500000000002,Italy
112,2020-01-22,Communications,0.4994,Italy
