,OPEN_INT,Refdate,Ticker
0,237570,2020-03-02,CLK0 Comdty
1,239409,2020-03-03,CLK0 Comdty
2,249530,2020-03-04,CLK0 Comdty
3,263380,2020-03-05,CLK0 Comdty
4,291960,2020-03-06,CLK0 Comdty
5,320060,2020-03-09,CLK0 Comdty
6,363108,2020-03-10,CLK0 Comdty
7,392049,2020-03-11,CLK0 Comdty
8,436175,2020-03-12,CLK0 Comdty
9,446519,2020-03-13,CLK0 Comdty
10,472470,2020-03-16,CLK0 Comdty
11,484337,2020-03-17,CLK0 Comdty
12,500095,2020-03-18,CLK0 Comdty
13,529246,2020-03-19,CLK0 Comdty
14,541043,2020-03-20,CLK0 Comdty
15,546699,2020-03-23,CLK0 Comdty
16,542885,2020-03-24,CLK0 Comdty
17,550318,2020-03-25,CLK0 Comdty
18,564179,2020-03-26,CLK0 Comdty
19,579954,2020-03-27,CLK0 Comdty
20,610071,2020-03-30,CLK0 Comdty
21,627441,2020-03-31,CLK0 Comdty
22,628603,2020-04-01,CLK0 Comdty
23,634727,2020-04-02,CLK0 Comdty
24,595835,2020-04-03,CLK0 Comdty
25,579261,2020-04-06,CLK0 Comdty
26,516106,2020-04-07,CLK0 Comdty
27,445563,2020-04-08,CLK0 Comdty
28,406721,2020-04-09,CLK0 Comdty
29,324547,2020-04-13,CLK0 Comdty
30,231678,2020-04-14,CLK0 Comdty
31,203897,2020-04-15,CLK0 Comdty
32,148838,2020-04-16,CLK0 Comdty
33,108593,2020-04-17,CLK0 Comdty
34,13044,2020-04-20,CLK0 Comdty
35,242891,2020-03-02,CLM0 Comdty
36,240267,2020-03-03,CLM0 Comdty
37,239015,2020-03-04,CLM0 Comdty
38,241916,2020-03-05,CLM0 Comdty
39,245800,2020-03-06,CLM0 Comdty
40,261387,2020-03-09,CLM0 Comdty
41,267409,2020-03-10,CLM0 Comdty
42,262537,2020-03-11,CLM0 Comdty
43,264551,2020-03-12,CLM0 Comdty
44,270425,2020-03-13,CLM0 Comdty
45,270048,2020-03-16,CLM0 Comdty
46,269140,2020-03-17,CLM0 Comdty
47,261655,2020-03-18,CLM0 Comdty
48,270527,2020-03-19,CLM0 Comdty
49,266069,2020-03-20,CLM0 Comdty
50,270025,2020-03-23,CLM0 Comdty
51,264861,2020-03-24,CLM0 Comdty
52,267525,2020-03-25,CLM0 Comdty
53,267393,2020-03-26,CLM0 Comdty
54,271529,2020-03-27,CLM0 Comdty
55,288078,2020-03-30,CLM0 Comdty
56,300973,2020-03-31,CLM0 Comdty
57,321138,2020-04-01,CLM0 Comdty
58,304146,2020-04-02,CLM0 Comdty
59,316617,2020-04-03,CLM0 Comdty
60,319393,2020-04-06,CLM0 Comdty
61,323390,2020-04-07,CLM0 Comdty
62,357745,2020-04-08,CLM0 Comdty
63,392694,2020-04-09,CLM0 Comdty
64,431214,2020-04-13,CLM0 Comdty
65,478217,2020-04-14,CLM0 Comdty
66,498778,2020-04-15,CLM0 Comdty
67,532934,2020-04-16,CLM0 Comdty
68,538038,2020-04-17,CLM0 Comdty
69,581636,2020-04-20,CLM0 Comdty
